,STATE,DISTRICT,BLOCK,CATEGORY
641,TN,THANJAVUR,NAMBIVAYAL,Critical
642,TN,THANJAVUR,ULUR,Critical
643,TN,THANJAVUR,THAMBIKKOTTAI,Critical
644,TN,THANJAVUR,PERIYAKOTTAI,Critical
645,TN,THANJAVUR,AGARAPETTAI,Critical
646,TN,THANJAVUR,PATTUKKOTTAI,Critical
647,TN,THANJAVUR,ADIRAMPATTINAM,Critical
648,TN,THANJAVUR,SILLATHUR,Critical
649,TN,THANJAVUR,THIRUKKATTUPALLI,Over-exploited
650,TN,THANJAVUR,KANDIYUR,Over-exploited
651,TN,THANJAVUR,MELATTUR,Over-exploited
652,TN,THANJAVUR,KAVALIPATTI,Over-exploited
653,TN,THANJAVUR,KABISTHALAM,Over-exploited
654,TN,THANJAVUR,ANDIKKADU,Over-exploited
655,TN,THANJAVUR,NACHIYARKOIL,Over-exploited
656,TN,THANJAVUR,THIRUMANGALAKOTTAI,Over-exploited
657,TN,THANJAVUR,MURUKKANGUDI,Over-exploited
658,TN,THANJAVUR,TIRUCHITRAMBALAM,Over-exploited
659,TN,THANJAVUR,THIRUVAIYARU,Over-exploited
660,TN,THANJAVUR,VALLAM,Over-exploited
661,TN,THANJAVUR,AMMAPET,Over-exploited
662,TN,THANJAVUR,NADUKAVERI,Over-exploited
663,TN,THANJAVUR,ADUTHURAI,Over-exploited
664,TN,THANJAVUR,TIRUPPANANDAL,Over-exploited
665,TN,THANJAVUR,AYYAMPETTAI,Over-exploited
666,TN,THANJAVUR,NANJIKOTTAI,Over-exploited
667,TN,THANJAVUR,PANDANALLUR,Over-exploited
668,TN,THANJAVUR,DEVANANCHERI,Over-exploited
669,TN,THANJAVUR,KATHIRAMANGALAM,Over-exploited
670,TN,THANJAVUR,MADUKKUR,Over-exploited
671,TN,THANJAVUR,AVANAM,Over-exploited
672,TN,THANJAVUR,KURUVIKARAMBAI,Over-exploited
673,TN,THANJAVUR,PAPANASAM,Over-exploited
674,TN,THANJAVUR,THIRUVIDAMARUDUR,Over-exploited
675,TN,THANJAVUR,THONDARAMPATTU,Over-exploited
676,TN,THANJAVUR,RAMAPURAM,Over-exploited
677,TN,THANJAVUR,THUVARANKURICHI,Over-exploited
678,TN,THANJAVUR,KUMBAKONAM,Over-exploited
679,TN,THANJAVUR,SENGIPATTI,Safe
680,TN,THANJAVUR,PERUMAGALUR,Safe
681,TN,THANJAVUR,EACHANKOTTAI,Safe
682,TN,THANJAVUR,CHOLANMALIGAI,Safe
683,TN,THANJAVUR,THEKKUR,Safe
684,TN,THANJAVUR,PERAMBUR,Semi-critical
685,TN,THANJAVUR,THANJAVUR,Semi-critical
686,TN,THANJAVUR,SALIYAMANGALAM,Semi-critical
687,TN,THANJAVUR,KURICHI,Semi-critical
688,TN,THANJAVUR,PERAVURANI,Semi-critical
689,TN,THANJAVUR,BUDALUR,Semi-critical
690,TN,THANJAVUR,ORATHANAD,Semi-critical
