Date,Season,Tirap,Papum Pare,Lohit,Changlang,East Siang,Tirap_Trend,Tirap_SMA,Tirap_EWMA,Tirap_DES,Tirap_TES,Tirap_ARIMA,Papum Pare_Trend,Papum Pare_SMA,Papum Pare_EWMA,Papum Pare_DES,Papum Pare_TES,Papum Pare_ARIMA,Lohit_Trend,Lohit_SMA,Lohit_EWMA,Lohit_DES,Lohit_TES,Lohit_ARIMA,Changlang_Trend,Changlang_SMA,Changlang_EWMA,Changlang_DES,Changlang_TES,Changlang_ARIMA,East Siang_Trend,East Siang_SMA,East Siang_EWMA,East Siang_DES,East Siang_TES,East Siang_ARIMA
1996-02-29,POMRB,6.116666666666667,1.3650000000000002,3.126666666666667,8.9675,6.545964912280701,,,6.116666666666667,2.4777807663088827,6.116666666666667,0.0,,,1.3650000000000002,1.4769106678362822,2.4201794135767267,0.0,,,3.126666666666667,5.302590415759081,3.289265929328179,0.0,,,8.9675,1.9106761882676158,8.9675,0.0,,,6.545964912280701,1.5140052603276577,6.545964912280701,0.0
1996-05-31,PREMON,3.4599999999999995,1.0333333333333334,4.48,2.9375,2.5,,,5.054,1.6748660385447123,3.4599999999999995,1.267585749338114e-10,,,1.2323333333333335,1.3511657204778562,1.9876877824785677,0.5702128893524101,,,3.668,6.536307387664084,4.3944969054222565,0.9089278628997106,,,6.555499999999999,0.9292361664460539,2.9375,8.96748718838103,,,4.927578947368421,0.7871993557131239,2.500000000000001,-1.8203632140286248e-13
1996-08-31,MONSOON,2.890000000000001,0.96,3.89,2.6875,4.76,3.427916666666667,,4.188400000000001,1.2822619903332069,2.890000000000001,1.2347470165818607e-10,1.2581249999999997,,1.1234000000000002,1.2321038807756481,1.2166041379223052,0.4352934365909422,3.669375,,3.7568,6.637407274551361,3.6973708651399773,1.422262145808699,3.7990625000000002,,5.008299999999999,0.7336751863324742,2.6875,5.903064973147233,5.083991228070175,,4.860547368421052,1.0977826149710839,4.760000000000002,-3.4568032635828326e-13
1996-11-30,POMKH,2.686666666666667,1.393333333333333,3.0525,3.045,6.53,3.067500000000001,3.7883333333333336,3.587706666666667,1.142437396085671,2.686666666666667,2.154086706586464e-10,1.6072916666666668,1.1879166666666667,1.2313733333333334,1.1883906338592045,1.7060153429301785,0.7186261731999815,3.7014583333333335,3.637291666666667,3.47508,5.676307611275807,3.1309775599105416,1.7513476345181436,3.3871874999999996,4.409375,4.22298,0.9505862818865036,3.045,4.8833945294943675,5.040241228070175,5.083991228070175,5.528328421052631,2.0326574267618436,6.530000000000003,-5.47190560149589e-13
1997-02-28,POMRB,3.233333333333334,1.9266666666666667,3.3833333333333333,4.085,6.545964912280701,3.0587500000000003,3.0675,3.445957333333334,1.3190547871010994,6.116666666666667,5.874710423724073,1.96125,1.3283333333333334,1.5094906666666668,1.2287493778545064,2.425748356251521,1.268683392851226,3.7014583333333335,3.7014583333333335,3.4383813333333335,4.841132557996948,3.2236771191995555,3.0408053584005827,3.690625,3.18875,4.167788,1.6746999219476157,8.9675,7.532102044808004,4.996491228070175,5.083991228070175,5.9353830175438596,2.9883330689834273,6.545964912280705,6.114145573494726
1997-05-31,PREMON,3.4599999999999995,3.265,4.48,4.525,2.15,2.955416666666667,3.0675,3.4515744,1.6318405482809675,2.932853185595568,3.3231331988183883,2.08625,1.88625,2.2116944,1.463773223588071,1.9932567284189802,1.1734842608307687,3.707395833333334,3.701458333333334,3.8550288000000004,4.75503484803571,4.463063066902622,4.38042565007055,3.8390625,3.5856250000000003,4.3106728,2.599395121366665,2.3694529085872578,3.1775127355428596,4.996491228070175,4.996491228070175,4.421229810526316,2.518401043170875,2.5000000000000044,2.335081861661124
1997-08-31,MONSOON,2.8200000000000003,1.5599999999999998,3.89,3.5275,4.76,2.922083333333333,3.05,3.19894464,1.7706266899537828,2.3873454009714488,2.7756806198228112,2.184791666666667,2.03625,1.9510166399999997,1.453847095141741,1.222173096935214,1.8252700753265187,3.649166666666667,3.701458333333334,3.86901728,4.308969185603256,3.805177270762993,3.7638111599567043,3.843125,3.7956250000000002,3.9974036799999997,3.024089510420152,2.31613705772669,3.1417100503990616,5.488245614035089,4.996491228070175,4.556737886315789,3.002635665614514,4.740609418282552,4.44599586460278
1997-11-30,POMKH,1.93,1.7933333333333337,3.1,3.3925,6.53,3.0770833333333334,2.860833333333333,2.691366784,1.6607669592984802,2.204370862279456,2.580390518544624,2.084375,2.13625,1.8879433173333333,1.4801037665448917,1.7115843054338133,1.3123026003073703,3.5850000000000004,3.7133333333333343,3.561410368,3.5436131700238125,3.114169591785158,2.952902009567822,3.71,3.8825000000000007,3.755442208,3.3232083686549703,2.784355705763061,3.4221527203221487,5.873749999999999,4.996491228070175,5.346042731789473,4.106191284842177,6.510714159651941,6.099233822658856
1998-02-28,POMRB,3.723333333333333,2.315,2.87,3.77,10.48,3.0391666666666666,2.9833333333333325,3.104153403733333,2.1926511325340727,4.473973085207764,4.3670448087436124,1.9691666666666667,2.2333333333333334,2.0587659904,1.5826486793609755,2.431317321071406,1.681514752922404,3.585,3.585000000000001,3.2848462208,2.937638197231129,3.313593945159971,3.2500714495138916,3.4509375,3.803750000000001,3.7612653247999996,3.715079406402159,5.677131884413187,6.030190366577166,5.620625,5.9799999999999995,7.399625639073684,6.690860756838022,6.526831723978844,6.114145573494726
1998-05-31,PREMON,4.21,2.0733333333333333,4.48,3.775,1.3,3.2958333333333334,3.170833333333333,3.5464920422399997,2.8827374581902223,2.8817676678092177,3.38047607251951,2.0,1.9354166666666668,2.0645929275733335,1.649519250516641,1.9988256954866037,2.3009526118117765,3.573125,3.585000000000001,3.7629077324800004,3.5332363642593654,4.43821649317403,4.235641173118987,3.351875,3.6162500000000004,3.7667591948799997,4.010744837579812,3.8602770783423934,3.720777226106181,5.424166666666667,5.7675,4.95977538344421,5.759025495789402,2.4779638807909086,2.0081704010285666
