Date,Season,Aron,Raghogarh,Guna,Bamori,Chachaura,Aron_Trend,Aron_SMA,Aron_EWMA,Aron_DES,Aron_TES,Aron_ARIMA,Raghogarh_Trend,Raghogarh_SMA,Raghogarh_EWMA,Raghogarh_DES,Raghogarh_TES,Raghogarh_ARIMA,Guna_Trend,Guna_SMA,Guna_EWMA,Guna_DES,Guna_TES,Guna_ARIMA,Bamori_Trend,Bamori_SMA,Bamori_EWMA,Bamori_DES,Bamori_TES,Bamori_ARIMA,Chachaura_Trend,Chachaura_SMA,Chachaura_EWMA,Chachaura_DES,Chachaura_TES,Chachaura_ARIMA
1996-02-29,POMRB,8.195,3.99,6.2714285714285705,6.0725,8.42,,,8.195,8.755061880233539,8.766611637890723,0.0,,,3.99,3.8143851431060725,3.4714001357469453,0.0,,,6.2714285714285705,9.469445457231187,5.755060228005152,0.0,,,6.0725,5.628430506348241,6.125534888715798,0.0,,,8.42,8.647854398098804,8.591735917455853,0.0
1996-05-31,PREMON,10.45,6.275,8.085714285714285,6.9,10.74,,,9.097,8.98022226378685,10.869515231336685,2.5314285056681545,,,4.904,5.208388978810039,6.955701926569537,3.1294234767949822,,,6.997142857142856,11.2190351996255,7.743671042723455,6.271401146445491,,,6.403499999999999,5.876595364361499,6.343194568679376,6.072480368224389,,,9.347999999999999,8.896378471963102,11.787313318250884,3.9834914937552854
1996-08-31,MONSOON,4.25,0.405,1.2657142857142858,1.7333333333333334,2.5333333333333337,7.2925,,7.1582,8.413858020428341,4.943448909250407,3.5587933186959537,3.3599999999999994,,3.1043999999999996,4.81934692356283,1.0715863094978548,4.530484754267615,4.823392857142857,,4.704571428571428,9.143413469467705,2.8536649380967427,7.202437123507915,4.9333333333333345,,4.535433333333333,4.887574830134,3.5278880703269206,6.527252473503271,7.46875,,6.622133333333333,8.14837375116312,3.2390627542772688,6.616819158547571
1996-11-30,POMKH,6.46,2.69,4.091428571428572,4.835,7.710000000000001,7.3462499999999995,7.33875,6.878919999999999,8.188647491365352,6.894222156468801,3.0529257590474783,3.575,3.34,2.9386399999999995,4.9253200962622525,2.730184874565184,3.0820844792537194,4.803214285714286,4.928571428571428,4.459314285714285,8.074937982038886,4.553943258249939,5.0537191146637905,5.047395833333334,4.885208333333334,4.65526,4.839169319469862,3.9512912218833542,4.44234042951002,7.615833333333334,7.350833333333334,7.05728,8.098522733271395,5.290105648501356,6.1516480832690394
1997-02-28,POMRB,7.825,4.15,5.43,6.4575000000000005,9.363333333333333,8.055625,7.24625,7.257351999999999,8.159022713063468,8.620919479727206,7.435637980361104,4.10625,3.3799999999999994,3.423184,5.3312140274936155,3.532675680803745,3.0773355972973815,5.239642857142856,4.718214285714286,4.847588571428571,7.492072092894133,5.512595846706049,5.577048380009296,5.557291666666666,4.981458333333334,5.376156,5.172323864044267,5.96912282248309,4.918335923708293,8.164166666666668,7.586666666666666,7.979701333333333,8.249409072881944,8.854655920976677,7.090201281190326
1997-05-31,PREMON,11.25,7.835000000000001,8.765714285714285,7.4275,10.973333333333334,8.774375,7.44625,8.8544112,8.55514776114574,10.685422135932065,9.265278491830564,4.391875000000001,3.769999999999999,5.1879104,6.705332732729873,7.04567968656462,3.732437724110212,5.544642857142857,4.888214285714286,6.414838857142857,8.307966633533912,7.374001721532482,6.786574641563284,6.031875,5.113333333333335,6.1966936,5.64828606229056,6.394811228017705,5.871104265223966,8.439166666666669,7.645,9.177154133333334,8.572309798269822,12.202531397314761,9.683161063150754
1997-08-31,MONSOON,9.125,3.095,4.0771428571428565,5.285,6.686666666666667,8.977500000000001,8.665,8.962646719999999,8.641263030516956,4.927830071751931,4.360275415483319,4.26,4.442499999999999,4.35074624,6.625860278979232,1.5889444416707406,3.50717271660516,5.248749999999999,5.5910714285714285,5.479760457142857,6.964658617360537,2.706918998806514,2.569154934380717,5.795625,6.0012500000000015,5.83201616,5.523327971027617,3.7623551148889667,4.362480193709988,7.624166666666667,8.683333333333334,8.180959146666666,8.351968730473654,3.6135692606371954,3.5536770078278543
1997-11-30,POMKH,7.335000000000001,2.285,3.72,5.08,5.756666666666668,9.105625,8.88375,8.311588032,8.496294800442097,7.715864939031785,7.299467852174843,4.0356250000000005,4.341249999999999,3.524447744,6.1757266832260305,3.879196368715723,3.804214247468791,4.736904761904762,5.498214285714285,4.775856274285714,5.658168357087651,5.035439235612155,4.854231775445642,5.3815625,6.062500000000002,5.5312096959999995,5.381040067725688,5.460337931158733,5.9727169332912995,7.0512500000000005,8.195,7.2112421546666665,8.047933427677911,6.510433405478304,8.06107256294714
1998-02-28,POMRB,8.575,3.5,3.4342857142857146,4.3225,4.796666666666667,8.745625,9.07125,8.416952819199999,8.521763802610812,9.451696883449266,7.732122370568024,3.881875,4.178749999999999,3.5146686464000005,5.952694512116949,4.2298885608486785,3.69399761086032,4.527738095238096,4.999285714285714,4.239228050285714,4.535697813118813,5.812952086932429,5.935018012970884,5.1416666666666675,5.528750000000001,5.0477258176,5.099458027934026,6.992480271412081,6.4358036501448135,7.13375,7.053333333333334,6.245411959466667,7.666513965509165,9.364617705827085,8.626129560197707
1998-05-31,PREMON,11.525,6.69,6.666666666666668,6.25,10.956666666666665,8.5625,9.139999999999999,9.660171691519999,8.907747397816337,11.502370651705338,10.380684410098059,3.8375,3.892499999999999,4.78480118784,6.522158922127426,7.351216627016688,4.317766642715699,4.7214880952380955,4.474523809523809,5.210203496838096,4.990358368925068,7.18673029045279,7.2636218443835405,4.934583333333333,5.234375000000002,5.528635490559999,5.323952437709672,6.2046215176343065,6.080612452071561,7.417083333333334,7.049166666666666,8.129913842346667,8.05602399733152,11.576182781505906,8.630023486107813
