Date,Season,Karkal,Udupi,Kundapura,Karkal_Trend,Karkal_SMA,Karkal_EWMA,Karkal_DES,Karkal_TES,Karkal_ARIMA,Udupi_Trend,Udupi_SMA,Udupi_EWMA,Udupi_DES,Udupi_TES,Udupi_ARIMA,Kundapura_Trend,Kundapura_SMA,Kundapura_EWMA,Kundapura_DES,Kundapura_TES,Kundapura_ARIMA
1996-02-29,POMRB,5.960416666666667,8.353333333333332,7.3744444444444435,,,5.960416666666667,8.709530140452994,5.913321176414146,0.0,,,8.353333333333332,6.713557242958057,8.363333333333332,0.0,,,7.3744444444444435,9.900412475111855,6.46225041092419,0.0
1996-05-31,PREMON,7.627999999999999,7.401999999999999,8.853333333333332,,,6.62745,10.146741170823857,7.697616485501467,2.3880335052656157e-06,,,7.9727999999999986,6.080169172040893,7.421445983379501,1.026203335268758e-06,,,7.965999999999999,11.178362419626323,8.052813821424442,1.460488477965183e-06
1996-08-31,MONSOON,3.5548333333333333,4.448333333333333,4.038888888888889,5.679145833333333,,5.3984033333333326,8.591939267146897,3.521883228088808,4.304022315375884e-06,6.499517857142856,,6.563013333333332,5.154447521874351,4.476674276082392,1.7342174525816563e-06,6.4480555555555545,,6.395155555555555,9.759905179255663,3.4279218977692696,1.753378073331792e-06
1996-11-30,POMKH,5.573333333333332,6.118571428571428,5.8644444444444455,5.679145833333333,5.679145833333333,5.4683753333333325,7.929559758567776,5.626698467050917,2.92269472579623e-06,6.703851190476191,6.580559523809523,6.385236571428571,4.719706820930555,6.155260668167133,1.688973850161137e-06,6.335694444444444,6.532777777777777,6.182871111111111,8.957640102997692,5.313050511122214,6.964823681322418e-08
1997-02-28,POMRB,5.960416666666667,7.704999999999999,6.696666666666667,5.679145833333333,5.679145833333333,5.665191866666666,7.379818508930441,5.9196358497576576,5.960417053237243,6.900476190476191,6.41847619047619,6.913141942857142,4.689689763785133,8.394671958751633,8.353332399841225,6.194166666666668,6.363333333333333,6.3883893333333335,8.439268517501317,6.4786139568732715,7.374440726978694
1997-05-31,PREMON,7.627999999999999,9.685,8.632222222222222,5.679145833333333,5.679145833333333,6.450315119999999,7.688439436164994,7.701672050243181,7.627996759527371,6.691369047619048,6.98922619047619,8.021885165714286,5.080720357728978,7.411885003684173,7.287314648128406,5.876805555555556,6.308055555555557,7.285922488888889,8.721749988755246,8.069177361469254,8.729661111748598
1997-08-31,MONSOON,3.5548333333333333,3.7383333333333333,3.1277777777777787,5.679145833333333,5.679145833333333,5.292122405333332,5.881745912343558,3.5244878925708734,3.5548305939354785,6.328303571428571,6.81172619047619,6.308464432761905,4.485577257126433,4.589171595836652,4.731716995393196,5.47861111111111,6.08027777777778,5.622664604444444,6.68005812012499,3.444285435794154,4.020494327256494
1997-11-30,POMKH,5.573333333333332,5.155714285714286,4.236666666666667,5.679145833333333,5.679145833333333,5.404606776533332,5.463462418360909,5.628371298702199,5.573330414269473,5.846220238095238,6.571011904761903,5.847364373942858,4.245786706723235,6.223760094900941,6.241224611260348,5.133611111111112,5.673333333333336,5.068265429333334,5.467709780764323,5.329414041258127,5.758806707726458
1998-02-28,POMRB,5.960416666666667,5.7633333333333345,5.138888888888889,5.679145833333333,5.679145833333333,5.626930732586666,5.414345978222739,5.920710216822044,5.960416259380694,5.506428571428572,6.085595238095237,5.813751957699049,4.184735858321883,8.201755192022478,7.977462763797288,4.9,5.283888888888891,5.096514813155556,4.93397644440728,6.494977473024344,6.818143471754987
1998-05-31,PREMON,7.627999999999999,7.77,7.4300000000000015,5.679145833333333,5.679145833333333,6.427358439551999,6.305218526130105,7.70236205666911,7.627998073249002,5.379047619047618,5.606845238095236,6.596251174619429,4.527047189441105,8.056772319627635,8.03232083194783,4.826666666666668,4.983333333333335,6.029908887893335,5.529119893510878,8.085540864230895,8.428180077513609
1998-08-31,MONSOON,3.5548333333333333,2.935,2.461111111111112,5.679145833333333,5.679145833333333,5.278348397064533,5.038781670384428,3.5249310454592253,3.554831787912598,5.472708333333333,5.406011904761902,5.131750704771657,4.038548983692468,4.099951962311097,3.4797151584095336,4.953333333333334,4.816666666666668,4.602389777180446,4.162579044737968,3.4606489281906723,3.3947572664955716
1998-11-30,POMKH,5.573333333333332,4.94,4.316666666666666,5.679145833333333,5.679145833333333,5.396342371572052,5.0570592345096035,5.6286559112434915,5.57333165482532,5.730583333333333,5.352083333333331,5.055050422862995,3.970993441675225,5.635681700799035,5.048075366502125,4.986944444444444,4.836666666666668,4.488100532974935,3.858171368066522,5.345777527844884,4.958412067838447
1999-02-28,POMRB,5.960416666666667,6.728333333333333,6.072222222222222,5.679145833333333,5.679145833333333,5.621972089609898,5.332178845831752,5.920893007684411,5.960416234042566,5.998458333333333,5.59333333333333,5.72436358705113,4.257603301435778,7.187821453252025,6.87132697007406,5.199375,5.070000000000001,5.121749208673849,4.414198936663236,6.511340960152385,6.295141989240795
1999-05-31,PREMON,7.627999999999999,8.867999999999997,6.7655555555555535,5.679145833333333,5.679145833333333,6.424383253765939,6.469062634352208,7.702479453109854,7.627998618521557,6.297476190476189,5.867833333333329,6.981818152230677,4.947296356800469,7.81923995035024,8.135591098180246,5.713459595959595,4.90388888888889,5.779271747426531,5.260083406478809,8.101904359158556,8.263215002871496
1999-08-31,MONSOON,3.5548333333333333,3.98,4.825,5.679145833333333,5.679145833333333,5.276563285592896,5.304132303178452,3.525006442686992,3.5548322341969096,6.512119047619047,6.129083333333329,5.7810908913384065,4.734575362329778,3.651869105546102,3.851983790190312,5.995061553030303,5.494861111111112,5.397563048455918,5.182255761874968,3.4770124173274737,2.926272396829587
