Date,Season,Andimadam,Jayankondam,Thirumanur,Ariyalur,T.palur,Sendurai,Andimadam_Trend,Andimadam_SMA,Andimadam_EWMA,Andimadam_TES,Andimadam_ARIMA,Jayankondam_Trend,Jayankondam_SMA,Jayankondam_EWMA,Jayankondam_DES,Jayankondam_TES,Jayankondam_ARIMA,Thirumanur_Trend,Thirumanur_SMA,Thirumanur_EWMA,Thirumanur_DES,Thirumanur_TES,Thirumanur_ARIMA,Ariyalur_Trend,Ariyalur_SMA,Ariyalur_EWMA,Ariyalur_DES,Ariyalur_TES,Ariyalur_ARIMA,T.palur_Trend,T.palur_SMA,T.palur_EWMA,T.palur_DES,T.palur_TES,T.palur_ARIMA,Sendurai_Trend,Sendurai_SMA,Sendurai_EWMA,Sendurai_DES,Sendurai_TES,Sendurai_ARIMA
1996-02-29,POMRB,,3.266666666666667,4.875,5.869999999999999,21.5,15.81,,,,,,,,3.266666666666667,10.900772321799664,6.660268387724646,0.0,,,4.875,3.8083056423848944,4.439349758498108,0.0,,,5.869999999999999,7.657676422692268,5.0665711381709455,0.0,,,21.5,26.511725826193402,21.5,0.0,,,15.81,21.806269113250732,15.727088363412072,0.0
1996-05-31,PREMON,3.14,12.6825,6.4350000000000005,8.885,24.35,8.786428571428571,3.14,,3.14,3.14,0.0,,,7.033,9.733846211766068,9.072809664341428,2.3705146297495436,,,5.4990000000000006,4.312060304977791,4.818476147190745,0.0,,,7.076,10.356723764662448,8.041187855912744,5.869847829435697,,,22.64,28.979067536578576,24.35,19.132328466865857,,,13.00057142857143,21.087495742220955,8.841670452159693,15.80961224797552
1996-08-31,MONSOON,,5.88,4.99,7.19,42.1,27.12,,,,,,8.402083333333334,,6.5718,6.371004242852537,10.026514070116635,9.203281160754667,4.531250000000001,,5.295400000000001,4.280633326187738,5.276017531289154,0.0,6.434375000000001,,7.1216,11.392580232174277,7.602915898013727,7.41044786402073,27.505000000000003,,30.424,37.36354460236143,42.1,21.655828908987615,19.184107142857144,,18.648342857142858,20.392414559607385,24.47364969030583,13.176690188377146
1996-11-30,POMKH,,8.8,2.975,4.51,24.0,25.02,,,,,,8.9178125,7.657291666666667,7.46308,6.280470896198558,7.513325908015877,4.266926333549178,4.01,4.8187500000000005,4.367240000000001,3.7308522407412257,3.791870002411947,0.0,5.961874999999999,6.61375,6.07696,10.50605414331459,6.518501210008731,7.33162087237584,26.766250000000003,27.9875,27.854400000000002,38.027741602239026,24.0,35.20398039861592,21.37517857142857,19.184107142857144,21.197005714285716,19.720244473863175,23.145561007455463,14.892049174944999
1997-02-28,POMRB,,9.225,2.575,4.435,17.64,15.81,,,,,,9.945,9.146875,8.167848,6.425679989357488,6.146104849679687,6.3858761454477495,3.8450000000000006,4.24375,3.6503440000000005,3.2469886683455482,4.439349806902085,0.0,5.6225,6.254999999999999,5.420176,9.524529596669485,5.639809198279271,6.211134717090268,24.049999999999997,27.0225,23.76864,35.334686029594124,21.5,19.245175950678927,23.56625,19.184107142857144,19.04220342857143,19.070230240579605,18.456092607294046,20.075075661680604
1997-05-31,PREMON,3.14,10.85,4.565,6.539999999999999,22.3,26.315,3.14,,3.14,3.14,0.0,11.1715625,8.68875,9.2407088,7.175981076394817,9.817434370508144,6.694284936563124,3.865625,3.7762500000000006,4.016206400000001,3.434968851610975,4.818476283665292,0.0,5.810624999999999,5.668749999999999,5.8681056,9.646328116536148,8.296694889474137,7.087901888042218,18.975,26.510000000000005,23.181184000000002,33.632899889879106,23.366288088642662,25.989947628743472,22.837500000000002,23.56625,21.95132205714286,18.441641712836923,11.068799858355263,15.304342583176075
1997-08-31,MONSOON,,15.93,5.54,6.82,22.42,27.12,,,,,,10.49375,11.20125,11.916425279999999,9.639201269917935,10.269932773645403,7.873495020239554,3.8106250000000004,3.9137500000000007,4.625723840000001,3.8201045123977617,5.276017497039491,0.0,6.012499999999999,5.576249999999999,6.24886336,9.70869026459366,6.958582410719988,6.300053402634537,16.767083333333336,21.59000000000001,22.8767104,31.597544908453266,40.67346674749273,37.87635734145316,22.10875,23.56625,24.018793234285717,17.833772587740146,31.81865798308327,29.27873573265985
1997-11-30,POMKH,,8.5625,2.59,6.385,3.08,19.19,,,,,,10.105,11.141874999999999,10.574855168,7.476828650415744,9.663954378843519,11.559887158748028,3.8249999999999997,3.8175000000000012,3.8114343040000005,3.3124518255394015,3.7918699260683937,0.0,6.083125000000001,6.045,6.303318016,9.384734866257615,5.324306005643949,5.318639056489573,17.511666666666667,16.36000000000001,14.958026239999999,23.260970052341875,17.703274087693245,20.085973968086282,22.10875,22.10875,22.08727594057143,17.245939850707806,28.92452078759473,30.39406452188063
1998-02-28,POMRB,,4.04,2.52,4.175,20.896666666666665,15.81,,,,,,9.950625,9.845624999999998,7.960913100799999,4.6905971495122865,7.832283803654201,6.21353005629504,3.7068749999999997,3.8037500000000017,3.2948605824,2.9441224464108493,4.439349639896113,0.0,6.095000000000001,5.98,5.4519908096,7.950439047985524,5.254093197390251,5.491601406807664,17.134166666666665,17.174166666666675,17.333482410666665,21.70318975400814,7.401841141859606,14.740102005307879,20.491666666666667,22.10875,19.576365564342858,16.677483101212918,18.549595477466177,22.476847006561215
1998-05-31,PREMON,3.14,12.925,4.735,7.365,25.0,26.315,3.14,,3.14,3.14,0.0,9.768125,10.364374999999997,9.946547860479999,7.371549317536925,10.167288338465951,2.931697684955558,3.56625,3.8462500000000013,3.87091634944,3.2707241840650463,4.8184762527391225,0.0,6.293125,6.186250000000001,6.21719448576,8.348202881832167,7.725899949594093,6.0894399155771355,17.202916666666667,17.849166666666676,20.4000894464,21.865612049111295,14.221047181299586,24.92561289240135,18.874583333333334,22.10875,22.271819338605717,16.127763777449026,26.16670204811185,25.37803470110609
1998-08-31,MONSOON,,12.62,4.425,6.09,16.7,14.183333333333332,,,,,,11.211458333333333,9.536874999999997,11.015928716287998,8.30597836783133,10.95529768704469,9.379255588626382,3.314375,3.5675000000000017,4.092549809664,3.414639607189972,5.276017510796476,0.0,6.40375,6.003750000000001,6.166316691456,7.948428255830583,7.222822150872837,6.445336374158488,18.31833333333333,16.419166666666676,18.92005366784,19.54057334811957,20.071840774551173,15.584016984998165,17.31388888888889,18.874583333333334,19.03642493649676,15.596164088969338,27.3125780229065,23.810928235780484
1998-11-30,POMKH,,10.4125,2.58,8.7,9.35,19.19,,,,,,11.229999999999999,9.999374999999997,10.7745572297728,7.7360445420831425,9.572290197557148,9.157926926767113,2.9400000000000004,3.565000000000002,3.4875298857984,3.0302976563627575,3.791869809971962,0.0,6.300625,6.582500000000001,7.1797900148736,8.835820456417965,5.871241632923185,6.202263404611887,17.362499999999997,17.986666666666675,15.092032200704,15.484743454279563,3.3788422911689135,3.1011071005342408,15.753194444444444,18.874583333333334,19.097854961898058,15.082086910228435,18.21195526392991,17.891494426874452
