Date,Season,Haisar Bazar,Sotha,Mehdawal,Semariyawan,Khalilabad,Baghauli,Haisar Bazar_Trend,Haisar Bazar_SMA,Haisar Bazar_EWMA,Haisar Bazar_DES,Haisar Bazar_TES,Haisar Bazar_ARIMA,Sotha_Trend,Sotha_SMA,Sotha_EWMA,Sotha_DES,Sotha_TES,Sotha_ARIMA,Mehdawal_Trend,Mehdawal_SMA,Mehdawal_EWMA,Mehdawal_DES,Mehdawal_TES,Mehdawal_ARIMA,Semariyawan_Trend,Semariyawan_SMA,Semariyawan_EWMA,Semariyawan_DES,Semariyawan_TES,Semariyawan_ARIMA,Khalilabad_Trend,Khalilabad_SMA,Khalilabad_EWMA,Khalilabad_DES,Khalilabad_TES,Khalilabad_ARIMA,Baghauli_Trend,Baghauli_SMA,Baghauli_EWMA,Baghauli_DES,Baghauli_TES,Baghauli_ARIMA
1996-02-29,POMRB,3.68,4.61,4.69,3.53,3.58,3.6,,,3.68,1.3574210688603976,3.680803039798092,0.0,,,4.61,3.9691469736706213,4.438720460017237,0.0,,,4.69,4.267988208210204,4.101516607647616,0.0,,,3.53,4.788131039788726,3.53,0.0,,,3.58,3.1111335041681745,3.3571915082510735,0.0,,,3.6,3.110913623855133,3.7456816670077706,0.0
1996-05-31,PREMON,6.2200000000000015,6.5,5.34,6.9,4.25,4.48,,,4.6960000000000015,2.0848855315595776,4.891781124683005,2.2251459499687822,,,5.366,4.178641450444194,6.686903694526105,4.609991788058237,,,4.95,4.311733245273526,5.156625868368749,4.689995477972888,,,4.878,3.810985116068378,6.9,0.0,,,3.8480000000000003,3.192291395485868,4.622091129292082,1.1734201266802544,,,3.9520000000000004,3.352822209185794,4.322964952457662,2.9494101113012747
1996-08-31,MONSOON,1.4,3.275,1.02,0.7,1.2,1.96,3.5081250000000006,,3.377600000000001,1.6886589930324987,2.7304842891077197,3.715954373657044,4.63875,,4.5296,3.52605488125346,3.540169912835762,5.67423945736322,3.4225,,3.378,3.8056340820838606,2.83618979741843,5.078364408028951,3.035,,3.2068,2.6116826371740953,0.7,0.0,2.8225,,2.7888,2.835535193952573,1.6990190846346969,1.5555651665208399,3.1950000000000003,,3.1552,2.827506312833068,2.3558397624802634,3.6391023630254464
1996-11-30,POMKH,2.71,4.2,3.03,1.4,2.21,2.7,3.31375,3.5025000000000004,3.1105600000000004,1.6944669026764183,2.9716591328756405,4.003687277684634,4.5025,4.64625,4.39776,3.3429913473626884,3.854752860774443,4.527734372002641,3.2787499999999996,3.52,3.2388000000000003,3.6117173195124006,3.062992200020568,3.1276291525504707,2.7275,3.1325,2.4840799999999996,1.8548773757941461,1.4,0.0,2.91125,2.8099999999999996,2.55728,2.658977785495824,2.3493715332561687,1.2191765544235968,3.21375,3.1849999999999996,2.9731199999999998,2.628210223631627,2.6079743091133234,3.0953284858375882
1997-02-28,POMRB,3.725,4.55,3.91,2.75,3.68,3.68,3.24375,3.513750000000001,3.3563360000000007,1.9831652315330641,3.620765070407143,3.2482972703131976,4.604374999999999,4.6312500000000005,4.4586559999999995,3.3774956343030302,4.456781241889117,4.502416252361009,3.6574999999999998,3.325,3.50728,3.554470511951971,3.861099993880071,4.020863193506231,2.5749999999999997,2.9375,2.590448,1.4686466744104645,3.53,3.529999080488559,3.3062500000000004,2.8349999999999995,3.006368,2.716522723331689,3.2371229220465794,3.2400931255992735,3.48875,3.2049999999999996,3.255872,2.793786422747316,3.6800874771708534,3.4831753748556267
1997-05-31,PREMON,4.62,5.47,4.97,5.22,4.86,4.55,3.3649999999999998,3.1137500000000005,3.8618016000000006,2.507030791576777,4.859594707774304,5.635631440129998,4.94125,4.37375,4.8631936,3.7634401894822633,6.68309059668484,5.764196845725369,4.20875,3.2325,4.0923680000000004,3.64297017755962,4.763496414613452,4.42882375024531,2.7075,2.5174999999999996,3.6422688,1.4546580329845535,6.809252077562328,6.899998202654692,3.75,2.9875,3.7478208000000004,2.9515216166863056,4.546024167800136,3.899571520409551,3.8175,3.2224999999999993,3.7735232,3.253938399833133,4.290025177661986,4.247933349744792
1997-08-31,MONSOON,2.44,5.12,4.42,1.16,3.75,4.09,3.25,3.3737500000000002,3.29308096,2.468099063793898,2.282581151409631,1.3224674549914088,5.0975,4.835000000000001,4.96591616,4.046950565045342,3.248802831525402,3.5751559123278427,4.378749999999999,4.0825000000000005,4.2234208,3.657064018049714,2.4496064388118266,2.0479445957438207,2.7137499999999997,2.6325,2.64936128,1.0998984340156517,0.4157102846049372,0.699999817660621,3.865,3.625,3.7486924800000003,3.0168018431047825,1.7601278182792717,1.4112165761896205,3.8575,3.754999999999999,3.90011392,3.5386910152336513,2.3459877093971158,2.1492236488217573
1997-11-30,POMKH,2.64,5.05,4.04,2.0,3.21,3.2,3.106875,3.35625,3.031848576,2.485984117057275,2.9182839015740245,2.7511027985506846,5.27625,5.047500000000001,4.999549696,4.305631771897614,4.162030006150514,4.689874805104404,4.4225,4.335,4.15005248,3.6254818448245896,3.748087311324681,4.1032346372735535,3.065,2.7824999999999998,2.389616768,0.9351210605559896,1.1760514473094887,1.399999635321242,3.82125,3.875,3.5332154879999997,3.0038742373051597,2.908121765335151,2.79346317296402,3.8350000000000004,3.879999999999999,3.620068352,3.5021819177271283,3.0780563638271636,2.9809055894196623
1998-02-28,POMRB,2.875,4.95,4.26,2.2,3.6,3.5,2.9156249999999995,3.1437500000000003,2.9691091456,2.5655367912984883,3.5629816660380795,3.7118396605925517,4.94375,5.147500000000001,4.9797298176,4.516510855276686,4.916138011726226,4.946323917821917,4.035,4.4225,4.194031488,3.6291801810791147,4.6381496568519625,4.568008525170641,3.4524999999999997,2.6449999999999996,2.3137700608,0.8508952700073966,3.260749479897667,3.139999517294384,3.42125,3.8550000000000004,3.5599292927999997,3.0530694332995805,3.8840988647725787,3.691258407340141,3.4537500000000003,3.834999999999999,3.5720410112000005,3.551915224608144,4.156879643552155,3.8689552209433873
1998-05-31,PREMON,4.324999999999998,6.5,4.97,8.58,4.59,4.55,2.689375,3.0699999999999994,3.5114654873599997,3.015168161224486,4.591749541586946,4.906333722897903,4.22,5.405000000000001,5.5878378905599995,5.218712564951242,7.125814649942152,5.990115016575105,3.4975,4.4225,4.5044188928,3.7274415756446335,5.419682522095082,5.042223127149551,3.3200000000000003,3.4849999999999994,4.820262036480001,1.486493077388358,6.370686039967857,6.0599990518967966,2.9225,3.7875000000000005,3.9719575756799994,3.249839761052303,5.04764486886191,4.323979042095083,2.9537499999999994,3.834999999999999,3.96322460672,3.931017047389736,4.619509515893657,4.58310783868926
