Date,Season,Sidli,Sidli_Trend,Sidli_SMA,Sidli_EWMA,Sidli_DES,Sidli_TES,Sidli_ARIMA
1996-02-29,POMRB,3.5620000000000003,,,3.5620000000000003,2.9251906876908413,3.361191330224123,0.0
1996-05-31,PREMON,4.0630000000000015,,,3.7624000000000004,2.973810655611506,4.1211250369697465,3.5619951059356905
1996-08-31,MONSOON,1.4611875000000003,2.905838541666667,,2.8419150000000006,2.539564745831845,1.362350532821866,3.8128861055958816
1996-11-30,POMKH,2.5371666666666663,2.905838541666667,2.9058385416666668,2.720015666666667,2.3796456677494366,2.6353049623581253,3.02493428012463
1997-02-28,POMRB,3.5620000000000003,2.905838541666667,2.9058385416666663,3.0568094000000006,2.4603395467585023,3.419721809274924,3.417459972667157
1997-05-31,PREMON,4.0630000000000015,2.9058385416666677,2.9058385416666663,3.459285640000001,2.6586850405873834,4.1733951459269605,3.821908560990821
1997-08-31,MONSOON,1.4611875000000003,2.905838541666667,2.9058385416666663,2.6600463840000006,2.344133417371842,1.4087710989004543,1.77533397430624
1997-11-30,POMKH,2.5371666666666663,2.905838541666667,2.9058385416666663,2.610894497066667,2.2811699932593346,2.6762743474047097,2.6100581610904765
1998-02-28,POMRB,3.5620000000000003,2.905838541666667,2.9058385416666663,2.9913366982400005,2.4440977221695945,3.4556249647415838,3.468983482197876
1998-05-31,PREMON,4.0630000000000015,2.9058385416666677,2.9058385416666663,3.420002018944001,2.7143887357560903,4.204602857473205,3.914054113512042
1998-08-31,MONSOON,1.4611875000000003,2.903088541666667,2.9058385416666663,2.636476211366401,2.449299972190207,1.4356394032195192,1.6474390192207027
1998-11-30,POMKH,2.5371666666666663,2.900338541666667,2.9058385416666663,2.596752393486507,2.4215808543808213,2.6991441048512073,2.5764966668192137
1999-02-28,POMRB,3.54,2.900338541666667,2.900338541666666,2.974051436091904,2.6073308718594834,3.474821572303338,3.48831012503978
1999-05-31,PREMON,4.0630000000000015,2.900338541666667,2.900338541666666,3.409630861655143,2.89958938581649,4.217760112064131,3.946436947901643
1999-08-31,MONSOON,1.4611875000000003,2.900338541666667,2.900338541666666,2.6302535169930863,2.6431283255372926,1.445921070835583,1.6007531536553343
1999-11-30,POMKH,2.5371666666666663,2.900338541666667,2.900338541666666,2.593018776862518,2.61615912115059,2.706821133488795,2.5636914531127903
2000-02-29,POMRB,3.54,2.900338541666667,2.900338541666666,2.971811266117511,2.798298224006149,3.48014918069289,3.4900110532619477
2000-05-31,PREMON,4.0630000000000015,2.900338541666667,2.900338541666666,3.4082867596705073,3.08366534196349,4.220978079661446,3.96298543547066
2000-08-31,MONSOON,1.4611875000000003,2.900338541666667,2.900338541666666,2.6294470558023044,2.8143842151089444,1.4472540867735537,1.57806365189623
2000-11-30,POMKH,2.5371666666666663,2.900338541666667,2.900338541666666,2.592534900148049,2.7714685385048297,2.7064791955805685,2.5583047791791675
2001-02-28,POMRB,3.54,2.900338541666667,2.900338541666666,2.97152094008883,2.936025093900464,3.4783280363078926,3.491752044984461
2001-05-31,PREMON,4.0630000000000015,2.900338541666667,2.900338541666666,3.4081125640532983,3.202574445407667,4.217859700990623,3.972978188559029
2001-08-31,MONSOON,1.4611875000000003,2.900338541666667,2.900338541666666,2.6293425384319793,2.9139817085231225,1.4430071736596157,1.5656835724600224
2001-11-30,POMKH,2.5371666666666663,2.900338541666667,2.900338541666666,2.592472189725854,2.852089899202989,2.70125969971307,2.556039094564385
2002-02-28,POMRB,3.54,2.900338541666667,2.900338541666666,2.9714833138355123,2.9981491155294697,3.472279701171972,3.4933611061703598
2002-05-31,PREMON,4.0630000000000015,2.900338541666667,2.900338541666666,3.408089988301308,3.2466414468839733,4.2111146125127785,3.9794728011138556
2002-08-31,MONSOON,1.4611875000000003,2.900338541666667,2.900338541666666,2.629328992980785,2.9424126036434592,1.4356863170145542,1.558541768335135
2002-11-30,POMKH,2.5371666666666663,2.900338541666667,2.900338541666666,2.5924640624551376,2.8669214261175746,2.6934735182433247,2.555167766177326
2003-02-28,POMRB,3.54,2.900338541666667,2.900338541666666,2.971478437473083,3.00084072072154,3.464128653827489,3.4947168176819576
2003-05-31,PREMON,4.0630000000000015,2.900338541666667,2.900338541666666,3.40808706248385,3.238366067120799,4.202689726642021,3.9838462376115653
2003-08-31,MONSOON,1.4611875000000003,2.9030885416666674,2.900338541666666,2.6293272374903105,2.9261448572207196,1.4270697337329419,1.5542997662298395
2003-11-30,POMKH,2.5371666666666663,3.0460885416666668,2.900338541666666,2.592463009160853,2.844777028041281,2.684739027970104,2.554934513327945
2004-02-29,POMRB,3.5620000000000003,3.1863385416666667,2.9058385416666663,2.9802778054965122,2.9787414903514744,3.4553422199196224,3.495815221719585
2004-05-31,PREMON,5.185,3.3788802083333334,3.1863385416666654,3.8621666832979074,3.4500153381450382,4.196585970877244,3.9883542452977205
2004-08-31,MONSOON,1.4611875000000003,3.5755468749999997,3.1863385416666654,2.9017750099787447,3.1262322703686873,1.5573055641875126,1.6276367846940865
2004-11-30,POMKH,4.0775,3.579671875,3.571421874999999,3.372065005987247,3.3479898993162895,2.8050144319478783,2.6259495630415848
2005-02-28,POMRB,3.595,3.6345234374999995,3.579671874999999,3.461239003592348,3.456208787041748,3.753447328131604,3.6700312661776833
2005-05-31,PREMON,5.185,3.689375,3.579671874999999,4.150743402155409,3.888583996139269,4.476053082493723,4.498569949716169
2005-08-31,MONSOON,1.9,3.6450000000000005,3.6893749999999983,3.2504460412932454,3.6072624851996817,1.814799516004701,1.7475825008949735
2005-11-30,POMKH,4.0775,3.600625,3.6893749999999983,3.581267624775947,3.7729368792461773,3.0949087234750445,3.248935188110436
2006-02-28,POMRB,3.24,3.570625,3.6006249999999986,3.4447605748655685,3.7470401770690605,4.019512141907845,3.784987030980392
2006-05-31,PREMON,5.185,3.5406250000000004,3.600624999999999,4.1408563449193405,4.118687846089098,4.676269660433302,4.805276587174687
2006-08-31,MONSOON,1.66,3.585,3.540624999999999,3.1485138069516045,3.7315165886688395,1.9966370567246225,1.9348703690275002
