Date,Season,Lakhimpur,Nighasan,Bankeyganj,Isanagar,Mitauli,Pasgawan,Bijua,Mohammadi,Dhaurehra,Palia,Nakaha,Lakhimpur_Trend,Lakhimpur_SMA,Lakhimpur_EWMA,Lakhimpur_DES,Lakhimpur_TES,Lakhimpur_ARIMA,Nighasan_Trend,Nighasan_SMA,Nighasan_EWMA,Nighasan_DES,Nighasan_TES,Nighasan_ARIMA,Bankeyganj_Trend,Bankeyganj_SMA,Bankeyganj_EWMA,Bankeyganj_DES,Bankeyganj_TES,Bankeyganj_ARIMA,Isanagar_SMA,Isanagar_EWMA,Isanagar_TES,Isanagar_ARIMA,Mitauli_Trend,Mitauli_SMA,Mitauli_EWMA,Mitauli_DES,Mitauli_TES,Mitauli_ARIMA,Pasgawan_Trend,Pasgawan_SMA,Pasgawan_EWMA,Pasgawan_DES,Pasgawan_TES,Pasgawan_ARIMA,Bijua_Trend,Bijua_SMA,Bijua_EWMA,Bijua_DES,Bijua_TES,Bijua_ARIMA,Mohammadi_Trend,Mohammadi_SMA,Mohammadi_EWMA,Mohammadi_DES,Mohammadi_TES,Mohammadi_ARIMA,Dhaurehra_Trend,Dhaurehra_SMA,Dhaurehra_EWMA,Dhaurehra_DES,Dhaurehra_TES,Dhaurehra_ARIMA,Palia_Trend,Palia_SMA,Palia_EWMA,Palia_DES,Palia_TES,Palia_ARIMA,Nakaha_Trend,Nakaha_SMA,Nakaha_EWMA,Nakaha_DES,Nakaha_TES,Nakaha_ARIMA
1996-02-29,POMRB,8.87,3.275,5.4,3.4450000000000003,4.066666666666666,8.46,3.14,5.91,3.62,9.89,2.5766666666666667,,,8.87,6.955802024645293,8.870003450989678,0.0,,,3.275,4.569163571793454,3.275,0.0,,,5.4,4.756185924951205,5.316438182365351,0.0,,3.4450000000000003,3.4450000000000003,0.0,,,4.066666666666666,3.6832337353262274,3.472380890536347,0.0,,,8.46,8.143895172910769,7.815142100324737,0.0,,,3.14,4.663313996302222,2.883891019006749,0.0,,,5.91,5.047440928291797,4.931825707570104,0.0,,,3.62,3.3270179730075804,3.62,0.0,,,9.89,8.776574719231727,9.89,0.0,,,2.5766666666666667,1.8922656279428276,2.5766666666666667,0.0
1996-05-31,PREMON,10.86,4.025,6.55,,5.613333333333332,6.1999999999999975,4.06,6.92,4.33,10.86,2.6950000000000003,,,9.666,7.421404988248273,10.859988541365675,8.869981078266683,,,3.575,5.240927820248621,4.025,1.6197037070539287e-07,,,5.86,5.153983944155988,6.716084789150943,4.070964359129459,,,,,,,4.6853333333333325,3.68743121904588,5.299896455148328,1.8067832768872334,,,7.555999999999999,7.465647171167353,8.744512677460282,8.45998442634956,,,3.508,5.467885025710487,4.182792849918009,0.7818233392417583,,,6.314,5.40528309140625,7.118012386352003,5.909993235106554,,,3.9040000000000004,3.6317245730932086,4.33,-2.7787954285900313e-08,,,10.278,8.766748250840156,10.86,9.88998985225613,,,2.624,1.8979732523690143,2.6950000000000003,2.5766653663186574
1996-08-31,MONSOON,3.4525,2.18,3.71,2.99,1.1783333333333332,9.475,1.435,2.7625,3.295,4.9775,0.8433333333333333,7.704374999999999,,7.1806,5.485305734850589,3.452554201341853,9.929493089483906,2.9625000000000004,,3.0170000000000003,4.797620327575109,2.18,1.9906281400146762e-07,5.25,,5.0,4.550528975785204,4.09458552816931,5.044908778845331,,3.2630000000000003,2.99,1.3847452655340178e-20,3.3233333333333333,,3.282533333333333,3.6916334749695947,2.326896372172153,2.659502563462606,7.4575,,8.323599999999999,8.01963876276414,7.096360262031166,7.226581632020123,2.8199999999999994,,2.6788,4.4119822188442255,1.7671585515795076,2.042724531507245,4.804375,,4.8934,4.907918037599901,4.821334273159126,6.578720103603757,3.6020833333333337,,3.6604,3.4768486400902257,3.295,-3.215097662804066e-08,7.517499999999999,,8.1578,7.719324398311423,4.977499999999998,10.586958528518574,1.8647916666666666,,1.9117333333333333,1.9036980830142272,0.8433333333333333,2.6477987188997947
1996-11-30,POMKH,8.7,2.37,5.29,2.9166666666666665,2.7633333333333336,5.815,2.71,3.8,3.1633333333333336,5.847499999999998,1.6258333333333337,6.7906249999999995,7.970624999999999,7.788359999999999,5.901088792512639,8.699986061605784,7.328483334748855,2.9625000000000004,2.9625000000000004,2.7582,4.296207132406856,2.37,-2.7790604951649543e-08,5.2524999999999995,5.2375,5.116,4.6179257457819824,4.53375097326544,3.9640988314894607,,3.1244666666666667,2.9166666666666665,9.64086168461657e-21,3.155,3.4054166666666665,3.0748533333333334,3.6958405238912233,2.1483601113989366,1.5124165565816328,7.71875,7.4875,7.32016,7.26168116447434,7.325883367564694,8.188146386979405,2.795,2.8362499999999997,2.69128,3.9739697484857808,2.6307043857935404,2.3112906227317653,4.58,4.8481250000000005,4.45604,4.70102702985549,4.153199044561794,4.289160022215967,3.602083333333333,3.6020833333333337,3.4615733333333334,3.300840684191245,3.1633333333333336,5.937818761072257e-10,6.717499999999999,7.893749999999999,7.23368,6.981854993244202,5.847499999999997,6.984785886796271,1.83,1.9352083333333334,1.7973733333333333,1.9094401854298844,1.6258333333333337,1.8196799293084474
1997-02-28,POMRB,6.7399999999999975,3.275,5.5,3.4450000000000003,3.41,8.22,3.01,5.5600000000000005,3.62,6.880000000000001,2.013333333333333,6.256562499999999,7.438124999999999,7.3690159999999985,5.715457373657233,8.869992295584382,8.091344755541005,2.9625,2.9625000000000004,2.96492,4.134765072508393,3.275,3.274999673514479,5.4312499999999995,5.262499999999999,5.2696000000000005,4.793248585841488,5.45838654270942,5.272717320153045,3.1991666666666667,3.25268,3.4450000000000003,-4.171224284610432e-21,3.073125,3.24125,3.2089119999999998,3.7000523688795077,3.5836539139747696,3.4104464205163985,8.188125000000001,7.4275,7.680096,7.491621016370519,7.449164287134,7.409652512432016,2.8268750000000002,2.8037499999999995,2.818768,3.6744592263303706,2.947371058510959,3.106549356702864,4.6665625,4.760625,4.897624,4.86663458241991,4.346648999840741,4.731333197820594,3.602083333333333,3.6020833333333337,3.5249440000000005,3.3585875814686337,3.62,3.619999932625745,6.3071874999999995,7.141249999999999,7.092208,6.562999765577138,9.889999999999999,9.352672330878649,1.8822916666666667,1.794375,1.883757333333333,1.9151996096653114,2.5766666666666667,2.367522627253262
1997-05-31,PREMON,5.68,4.025,6.47,,4.923333333333333,8.53,3.99,5.475,4.33,7.47,2.98,5.8287499999999985,6.1431249999999995,6.693409599999999,5.303208899905602,10.317158929948494,8.53000308007223,2.9625,2.9625000000000004,3.3889520000000006,4.254974503998815,4.025,4.0249995934580864,5.579999999999999,5.242499999999999,5.74976,5.328630747915824,6.837439353720903,6.320075084003182,,,,,2.9479166666666665,3.0687499999999996,3.894680533333333,3.704269017610748,5.24815281235818,4.45993191908814,9.001875,8.010000000000002,8.0200576,7.744259249741054,8.423214732219785,7.32093124898299,2.8112500000000002,2.78625,3.2872608000000003,3.8938539168272803,4.07838694377652,3.9981105062897826,4.92375,4.399374999999999,5.1285744,4.984866156182435,6.619189548116578,5.033480110962129,3.6020833333333333,3.602083333333334,3.8469664000000003,3.7271998999329683,4.33,4.329999937654431,6.3328125,6.293749999999999,7.2433248,6.351741269014334,10.309695290858723,9.41772227673399,1.9051041666666668,1.865625,2.3222544,1.9209764109697882,2.6637903970452452,2.398490452765384
1997-08-31,MONSOON,4.36,2.18,5.22,2.99,1.2133333333333334,10.9,1.76,4.9,3.295,5.085,0.9766666666666666,5.0475,6.369999999999999,5.760045759999999,4.6037911574743315,1.6335272602507755,4.319594950870477,2.9625000000000004,2.9625000000000004,2.9053712000000003,3.5540211537024367,2.18,2.179999812496417,5.518749999999999,5.619999999999998,5.537856,5.354684589540899,4.117088677705058,3.769883204725129,3.0854166666666667,3.147608,3.4450000000000003,3.444999705347172,2.7683333333333335,3.0774999999999997,2.8221416533333334,3.708490462236067,2.1396649744758847,1.2378151818810896,9.9725,8.36625,9.17203456,8.651181915377595,7.715383783691466,8.305796547667867,2.5925000000000002,2.8674999999999997,2.6763564800000004,2.9548059935715707,1.5982110393931048,1.4159151272182937,4.73,4.933749999999999,5.03714464,4.971838176627249,3.9750873216335374,3.642225400203627,3.6020833333333337,3.602083333333334,3.6261798400000003,3.6041863257982185,3.295,3.294999960533828,6.2631250000000005,6.320625,6.37999488,5.775641548450752,3.8329850714773506,4.786624149641238,1.8804166666666666,1.8989583333333333,1.7840193066666665,1.9267706263643287,0.8280817877906608,1.2601739331004236
1997-11-30,POMKH,4.37,2.37,4.97,2.9166666666666665,1.7266666666666666,10.9,2.26,3.72,3.1633333333333336,5.944999999999999,1.6749999999999998,4.945625,5.2875,5.2040274559999995,4.134712331431221,7.275893561283275,6.669506068695206,2.9625000000000004,2.9625000000000004,2.6912227200000003,3.0354374140491607,2.37,2.369999914811209,5.47625,5.539999999999998,5.3107136,5.272691211606784,5.286514044353615,5.923771366525241,3.067083333333333,3.0552314666666667,2.937063711911358,2.989999744263572,2.7524999999999995,2.818333333333333,2.3839516586666667,3.712716718993509,2.0083035384796855,2.45880263862443,10.006874999999999,9.637500000000001,9.863220736,9.26845617658296,8.230758196789425,8.62266725315924,2.40125,2.755,2.509813888,2.484148302008586,2.700759605763454,2.797590127397214,4.530625,4.9137499999999985,4.510286784,4.737720778641187,4.402545688819107,4.613955319941839,3.602083333333333,3.6020833333333337,3.4410412373333337,3.4346778525961668,3.1633333333333336,3.163333284335483,6.14625,6.345000000000001,6.205996927999999,5.464108631673755,4.7860480289974765,6.378426725320386,1.8975,1.9112499999999997,1.7404115839999998,1.9325823223771939,1.6181290837661224,1.7262102778495243
1998-02-28,POMRB,4.82,3.275,5.33,3.4450000000000003,3.01,10.9,1.71,4.09,3.62,6.2250000000000005,1.7666666666666668,4.8568750000000005,4.8075,5.0504164735999995,4.006611171722102,5.853606808092005,5.389556579217828,2.9625,2.9625000000000004,2.924733632,2.9929183778044655,3.275,3.275000086337427,5.077500000000001,5.497499999999999,5.31842816,5.3195196942617535,5.684495808897943,5.255373990961161,3.1991666666666667,3.21113888,2.8563157638958168,2.916666417202492,2.7779166666666666,2.718333333333333,2.6343709952,3.716947795331112,3.2532667825776933,3.0374264290652357,9.35,10.307500000000001,10.2779324416,9.688588485525969,9.836581446034764,9.924737615811413,2.29125,2.43,2.1898883328,1.938407431719601,2.907869038202591,3.063098958906978,3.980625,4.546249999999999,4.3421720704,4.617909459808276,4.475063782218082,5.1012689579682196,3.602083333333333,3.6020833333333337,3.5126247424,3.483498430889403,3.62,3.6199999952521327,6.084375,6.18125,6.2135981568,5.284446942980385,7.024757743194548,7.572424195947058,1.9120833333333334,1.849583333333333,1.7509136170666666,1.9384115485906104,2.4532437083455543,2.217393680424509
1998-05-31,PREMON,6.785,4.025,6.3,,5.196666666666666,6.125,3.76,5.35,4.33,7.19,3.3633333333333333,4.535,5.08375,5.74424988416,4.713385303009536,6.480553785072053,5.965457054732027,2.9625,2.9625000000000004,3.3648401792000007,3.302572550047863,4.025,4.025000035096622,4.441249999999999,5.454999999999999,5.711056896,5.708965991048739,6.8690858742832175,6.349595043732231,,,,,2.8449999999999998,2.786666666666666,3.6592892637866665,3.7211836990455,4.902988400540184,4.501474230987522,8.338125,9.70625,8.616759464960001,8.493745525961737,10.914400660988182,10.053881362585848,2.1975,2.3725,2.81793299968,2.593765400738475,3.735610788193976,3.5996796558897,3.2925000000000004,4.514999999999999,4.74530324224,4.759428435897097,6.160686931854051,5.243813374692335,3.6020833333333333,3.602083333333334,3.83957484544,3.8346957069162286,4.33,4.329999997877365,6.033125,6.111250000000001,6.60415889408,5.348964261121928,7.870372444334071,7.835441696904786,1.8664583333333333,1.9454166666666661,2.3958815035733334,1.944258365680879,2.718591042756584,2.5881217893711757
