Date,Season,Thakurganj,Pothia,Tehragachhi,Kochadhiman,Bahadurganj,Kishanganj,Thakurganj_Trend,Thakurganj_SMA,Thakurganj_EWMA,Thakurganj_DES,Thakurganj_TES,Thakurganj_ARIMA,Pothia_Trend,Pothia_SMA,Pothia_EWMA,Pothia_DES,Pothia_TES,Pothia_ARIMA,Tehragachhi_Trend,Tehragachhi_SMA,Tehragachhi_EWMA,Tehragachhi_DES,Tehragachhi_TES,Tehragachhi_ARIMA,Kochadhiman_Trend,Kochadhiman_SMA,Kochadhiman_EWMA,Kochadhiman_DES,Kochadhiman_TES,Kochadhiman_ARIMA,Bahadurganj_Trend,Bahadurganj_SMA,Bahadurganj_EWMA,Bahadurganj_DES,Bahadurganj_TES,Bahadurganj_ARIMA,Kishanganj_Trend,Kishanganj_SMA,Kishanganj_EWMA,Kishanganj_DES,Kishanganj_TES,Kishanganj_ARIMA
1996-02-29,POMRB,3.35,2.282,3.6,2.8669999999999995,3.205,4.5075,,,3.35,3.3294439019988724,3.253946785202629,0.0,,,2.282,1.5754848599439895,2.292,0.0,,,3.6,4.9774035087719275,3.61,0.0,,,2.8669999999999995,2.286857021625557,2.8769997022419664,0.0,,,3.205,3.7027196397959425,3.2149925737620966,0.0,,,4.5075,4.526433492402437,4.902453259111347,0.0
1996-05-31,PREMON,3.546666666666667,2.9,4.3599999999999985,4.702,3.48,5.4425,,,3.4286666666666665,3.395760094551081,4.398101987310831,3.349990967215671,,,2.5292,1.6690387369344826,2.919445983379501,2.6262448018744374e-08,,,3.904,5.711532359825177,4.3794459833795,-1.163599818367059e-21,,,3.601,1.8254551292807863,4.721445556015601,0.0,,,3.3150000000000004,3.945065900195186,3.499441735783223,4.529658286439826e-07,,,4.8815,4.507970462175499,5.36671870697007,1.9256313909518572
1996-08-31,MONSOON,3.3833333333333333,0.5766666666666667,1.115,1.67,2.55,2.615,3.5962500000000004,,3.4105333333333334,3.435263048910152,2.3937780461196123,3.449758737694049,1.7851666666666666,,1.7481866666666668,1.2944641931430372,0.6050076094157242,-4.61911673018689e-09,2.8929166666666664,,2.7884,5.042609364155253,1.1433409427490582,-6.864040161456031e-22,2.95325,,2.8286000000000002,1.1850489071254178,1.6983403914633728,0.0,3.0124999999999997,,3.0090000000000003,3.878493604467673,2.5783236363246607,4.918317873644459e-07,4.328020833333333,,3.9749,4.489582720262141,2.7308472681904234,1.8378432892572434
1996-11-30,POMKH,3.546666666666667,1.382,2.4966666666666666,2.5740000000000003,2.705,4.3325,3.8383333333333334,3.4566666666666666,3.464986666666667,3.4901327304523195,3.1115073800073376,3.42655449244555,1.7851666666666666,1.7851666666666666,1.601712,1.1680308660828738,1.4186892395957036,-1.1581587535811303e-07,2.8929166666666664,2.8929166666666664,2.6717066666666667,4.726538520112391,2.5333559062623716,6.104620987914258e-22,2.9532499999999997,2.9532499999999997,2.72676,1.0031099445471066,2.6106885673133275,0.0,3.1081250000000002,2.985,2.8874000000000004,3.805601709298758,2.7416863296405283,1.7514222477254578e-07,4.598437499999999,4.224375,4.11794,4.471269993905683,4.025557952274956,1.1152026802428368
1997-02-28,POMRB,4.466666666666667,2.282,3.6,2.8669999999999995,3.425,5.336666666666667,3.7820833333333335,3.7358333333333333,3.8656586666666666,3.6496912080887944,3.6163924996478762,3.4317232562144486,1.7851666666666666,1.7851666666666666,1.8738272,1.2770424022515836,2.326495520155142,2.28199966422455,2.892916666666666,2.8929166666666664,3.043024,4.709605288349925,3.644495520155144,3.5999994766322154,2.9532499999999997,2.9532499999999997,2.7828559999999998,1.00748359887866,2.903075323060491,2.8669999999999995,3.080625,3.0399999999999996,3.1024400000000005,3.886838539398469,3.245809074380395,3.2049991785045564,4.87125,4.431666666666667,4.605430666666667,4.453031971732168,4.864371707746571,4.005159686260095
1997-05-31,PREMON,4.366666666666667,2.9,4.3599999999999985,4.702,4.025,6.776666666666666,3.6095833333333336,3.940833333333334,4.066061866666667,3.7799658076949743,4.878752551217801,3.6674399639150868,1.7851666666666663,1.7851666666666666,2.28429632,1.53898414871363,2.951767742956175,2.8999996754599096,2.8929166666666664,2.8929166666666664,3.5698143999999994,4.883724552027626,4.411767742956176,4.359999366143459,2.95325,2.95325,3.5505136,1.44987967405733,4.737860438192826,4.702,2.973125,3.1762499999999996,3.4714640000000005,4.091974276652705,3.536996326713399,3.520646442520208,5.0828125,4.765208333333334,5.473925066666666,4.434868352320354,5.586498527468045,3.7386136686030556
1997-08-31,MONSOON,2.1133333333333333,0.5766666666666667,1.115,1.67,1.785,3.4633333333333334,3.5062500000000005,3.623333333333334,3.2849704533333335,3.6251997100454716,2.927612957252885,3.743056989882283,1.7851666666666666,1.7851666666666666,1.6012444586666668,1.276547509434586,0.6351805380077831,0.5766666253374906,2.8929166666666664,2.8929166666666664,2.5878886399999996,3.8962776243470447,1.1735138713411182,1.1149998379013666,2.95325,2.95325,2.79830816,1.2611794844216255,1.7060215316844038,1.6699999999999997,2.92125,2.9849999999999994,2.7968784,3.674261034826077,2.6409816677097315,2.6464778973878595,5.147500000000001,4.977291666666668,4.669688373333333,4.41677879627124,3.2819708896563373,3.1359129559080845
1997-11-30,POMKH,3.436666666666667,1.382,2.4966666666666666,2.5740000000000003,2.6100000000000003,5.176666666666667,3.4762500000000003,3.595833333333334,3.345648938666667,3.6462970543532305,3.362637291370581,3.514831670015129,1.7851666666666666,1.7851666666666666,1.5135466752,1.2281750196840682,1.446742906717366,1.381999916672203,2.8929166666666664,2.8929166666666664,2.5513998506666664,3.4440164186089226,2.561409573384034,2.4966663037014163,2.9532499999999997,2.95325,2.708584896,1.331691033269576,2.610534698107963,2.5740000000000003,2.7506250000000003,2.9612499999999993,2.72212704,3.470102062986774,2.757078084058908,2.5330499600918226,4.937083333333334,5.188333333333334,4.872479690666667,4.398763039463931,4.665051780162682,2.6233222414299324
1998-02-28,POMRB,3.75,2.282,3.6,2.8669999999999995,3.105,5.010000000000002,3.603125,3.4166666666666674,3.5073893632,3.702788604429682,3.8109245311947477,3.7493207988598547,1.7851666666666666,1.7851666666666666,1.8209280051199999,1.4004155072235667,2.352463809096169,2.281999998447679,2.892916666666666,2.8929166666666664,2.9708399104,3.412813651121227,3.6704638090961703,3.6000001315167225,2.9532499999999997,2.95325,2.7719509375999998,1.4940061732611527,2.903045675931378,2.8669999999999995,2.65140625,2.8812499999999996,2.8752762240000003,3.3968913186747027,3.333995203842404,3.3473613650667655,4.522083333333334,5.106666666666668,4.927487814400001,4.380820766670891,5.564721491182635,4.5535636286102035
1998-05-31,PREMON,4.843333333333333,2.9,4.3599999999999985,4.702,2.98,5.419999999999999,3.6645833333333337,3.5358333333333336,4.041766951253333,3.884635729753118,4.930477485408368,3.7225477858332217,1.7851666666666663,1.7851666666666666,2.252556803072,1.7199591383985915,2.9756885295502946,2.900000019279225,2.8929166666666664,2.8929166666666664,3.5265039462399996,3.655078675425322,4.435688529550295,4.360000159281362,2.95325,2.95325,3.5439705625599998,2.0983945983217294,4.737613097680557,4.702,2.6859374999999996,2.6199999999999997,2.9171657344,3.294667870484058,3.7154126127068987,3.7559618168616433,4.132395833333334,4.767500000000001,5.12449268864,4.362951682511958,5.981482597573777,4.2149874505214076
