Date,Season,Chamaria,Chamaria_Trend,Chamaria_SMA,Chamaria_EWMA,Chamaria_DES,Chamaria_TES,Chamaria_ARIMA
1996-02-29,POMRB,3.0511764705882354,,,3.0511764705882354,2.235004130835343,3.1341361369109046,0.0
1996-05-31,PREMON,2.5673684210526315,,,2.8576532507739936,1.9409814801706289,2.7236359365634772,3.0511753002690596
1996-08-31,MONSOON,1.6536842105263154,2.325214138286894,,2.376065634674922,1.6025404047061735,1.873811463504578,2.700470179572214
1996-11-30,POMKH,2.1183333333333336,2.375248968008256,2.347640608875129,2.2729727141382865,1.4350473743212444,2.393159163015371,2.2924360054756523
1997-02-28,POMRB,2.871764705882353,2.5067892156862746,2.3027876676986585,2.512489510835913,1.4515767186040918,3.336967584690066,2.8853374786872648
1997-05-31,PREMON,3.147058823529412,2.622673718610251,2.447710268317854,2.766317235913313,1.5454303265173346,2.8429944506613367,2.5297039168887467
1997-08-31,MONSOON,2.126315789473684,2.7545711859305126,2.5658681630546964,2.5103166573374613,1.4853905837317423,2.0074679424471795,1.9971508863879204
1997-11-30,POMKH,2.5727777777777776,2.7678085225318196,2.6794792741658076,2.5353011055135877,1.5309164248904221,2.535952495661093,2.2158166348408197
1998-02-28,POMRB,3.4725,2.5943832236842104,2.829663097695219,2.910180663308153,1.7512549501288313,3.4323469818068766,2.905679643351672
1998-05-31,PREMON,2.6522222222222216,2.408645833333333,2.705953947368421,2.8069972868737807,1.827803012309087,3.3210101591952363,2.887427872415346
1998-08-31,MONSOON,1.23375,2.294166666666666,2.4828125,2.177698372124268,1.6602679938618576,2.2998516652181245,1.8525618554724268
1998-11-30,POMKH,1.9794444444444441,2.5058558006535945,2.334479166666667,2.0983968010523384,1.645769850656829,2.6506986656921105,2.233533009055026
1999-02-28,POMRB,3.15,2.7674581290849667,2.253854166666667,2.519038080631403,1.8531229409562846,3.4477436547043503,3.1151266974128498
1999-05-31,PREMON,4.668235294117646,2.726466503267974,2.757857434640523,3.3787169660259,2.346446265968112,2.9723773343976134,2.9239300239083525
1999-08-31,MONSOON,1.3105555555555553,2.6759477124183,2.777058823529412,2.5514524018377625,2.204742138234963,2.0290800344794446,2.20628943398865
1999-11-30,POMKH,1.574705882352941,2.4710751633986923,2.675874183006536,2.160753794043834,2.111194317777416,2.5828580238234222,1.8743868445796448
2000-02-29,POMRB,3.1505882352941166,2.2586290849673203,2.6760212418300653,2.556687570543947,2.3097257454452267,3.49806710115866,3.1216167054653354
2000-05-31,PREMON,3.028666666666666,2.3442908496732024,2.2661290849673206,2.745479208993035,2.478986073591959,3.8526850391961434,3.6042960928094843
2000-08-31,MONSOON,1.2505555555555559,2.41269158496732,2.251129084967321,2.1475097476180434,2.3087083233199683,1.5954427898748968,1.3732252185718785
2000-11-30,POMKH,2.3200000000000003,2.3221413398692814,2.437452614379086,2.216505848570826,2.334724812390179,2.0386298211334326,1.9228425115352088
2001-02-28,POMRB,2.9525,2.310907679738562,2.387930555555557,2.510903509142496,2.4739924706586582,3.354071942483971,3.1787322949312484
2001-05-31,PREMON,2.5023529411764707,2.328197610294118,2.256352124183008,2.5074832819560857,2.5217076983663675,3.4880639209467366,3.5378161594239397
2001-08-31,MONSOON,1.6870000000000005,2.296994485294118,2.3654632352941194,2.1792899691736514,2.4115377608241966,1.3994654777805104,1.2317113770239227
2001-11-30,POMKH,2.021875,2.2009865518575853,2.2909319852941192,2.1163239815041908,2.361724630640124,2.163842649393786,2.2786253098144456
2002-02-28,POMRB,3.0010000000000003,2.0851938961988306,2.303056985294119,2.470194388902515,2.4916384750991605,3.1334096900881203,2.910529655326574
2002-05-31,PREMON,1.6857894736842105,2.1124277751670846,2.098916118421054,2.156432422815193,2.372929836724644,3.039005039009043,2.722958918276051
2002-08-31,MONSOON,1.5772222222222223,2.1109463763575604,2.071471673976609,1.9247483425780048,2.2365449088501808,1.432976979557555,1.3775985119658734
2002-11-30,POMKH,2.3495238095238102,2.0787720342522977,2.153383876357562,2.0946585293563267,2.2464284218182913,1.9849920643096963,2.383143210581319
2003-02-28,POMRB,2.6615,2.0637574143692565,2.068508876357562,2.321395117613796,2.3144199409227455,3.001075431152022,2.9167085110698383
2003-05-31,PREMON,1.7678947368421052,1.9669766604010026,2.089035192147036,2.0999949653051195,2.2173602183364123,2.3577210647521674,2.0614438534137323
2003-08-31,MONSOON,1.3750000000000002,1.9306611842105266,2.0384796365914806,1.809996979183072,2.0546388048438784,1.4578989187395486,1.7021638929506036
2003-11-30,POMKH,1.7775000000000003,1.9855562865497078,1.895473684210528,1.796998187509843,1.9755447240424155,2.071578808266776,2.191570075854841
2004-02-29,POMRB,2.9430000000000005,2.1570653594771247,1.965848684210528,2.255398912505906,2.1164299524537227,2.7073934499451116,2.719753905206128
2004-05-31,PREMON,1.925555555555556,2.3705682189542485,2.0052638888888907,2.123461569725766,2.069990617905393,2.0111138452050747,1.9350519962187709
2004-08-31,MONSOON,2.5894117647058823,2.468670923632611,2.3088668300653614,2.3098416477178123,2.148547198986969,1.3753012110523315,1.5916051162998812
2004-11-30,POMKH,2.271111111111112,2.557009373925009,2.4322696078431396,2.294349433075132,2.1674947546286134,2.0484474074104932,2.3006886626495575
2005-02-28,POMRB,3.2342105263157896,2.462353371173031,2.505072239422087,2.6702938703713954,2.3641427632171568,2.9792639327195563,2.5843869206777588
2005-05-31,PREMON,2.341052631578948,2.2814301685586518,2.608946508427935,2.538597374854416,2.3884313051715678,2.1675896361919977,2.0102345699867135
2005-08-31,MONSOON,1.4166666666666667,2.271132610939113,2.3157602339181307,2.0898250915793164,2.238505195310218,2.126938244141199,2.042313916535574
2005-11-30,POMKH,1.9964705882352944,2.312950206398349,2.247100103199176,2.0524832902417076,2.1978047014900475,2.179410658463694,1.868157016941852
2006-02-28,POMRB,3.4264705882352944,2.450370710784314,2.295165118679052,2.602078209439142,2.4224015825558967,3.0759746841050326,3.07388432568151
2006-05-31,PREMON,2.4833333333333334,2.644564950980392,2.330735294117648,2.5545802589968187,2.4646784903010763,2.2359578830892164,2.2862841788320285
2006-08-31,MONSOON,2.37375,2.7719868259803926,2.570006127450981,2.482248155398091,2.480939203716629,1.8277155132996716,2.0547320923577126
2006-11-30,POMKH,2.592941176470588,2.811151960784314,2.7191237745098045,2.5265253638270897,2.532692464988296,2.245112810235579,2.1900028168457335
2007-02-28,POMRB,3.849375,2.679954044117647,2.8248498774509807,3.0556652182962543,2.8139623821449247,3.438680729276821,3.224978551960864
2007-05-31,PREMON,2.37375,2.5556020220588236,2.7974540441176474,2.7828991309777527,2.8069410236283288,2.5787773887470085,2.490441869529413
2007-08-31,MONSOON,1.43375,2.5699310661764705,2.5624540441176475,2.2432394785866516,2.6167838704425925,2.260847995686902,1.855046142705246
2007-11-30,POMKH,2.538125,2.5979610906862747,2.54875,2.361193687151991,2.6292013357853112,2.447218213311601,2.210839599912591
2008-02-29,POMRB,4.018823529411765,2.586841299019608,2.5911121323529414,3.024245624055901,2.913675480179969,3.6343332241848136,3.6027151621534763
2008-05-31,PREMON,2.428541666666667,2.493571209733894,2.604810049019608,2.785964041100207,2.8898262025652746,2.5062516119142835,2.5223042383711967
2008-08-31,MONSOON,1.29,2.5473455007002803,2.5688725490196083,2.187578424660124,2.6491816791199025,1.9350415739844724,1.8945081477669097
2008-11-30,POMKH,1.9357142857142853,2.669572172619048,2.4182698704481798,2.0868327690817887,2.530923779817237,2.524363185616018,2.400362524828541
2009-02-28,POMRB,5.0514285714285725,2.631651785714286,2.6764211309523818,3.272671090020502,2.9949843532989218,3.7532896598460375,3.696975426509884
2009-05-31,PREMON,2.37375,2.660401785714286,2.662723214285715,2.913102654012301,2.9469401364559444,2.5266240113959295,2.821646613082535
2009-08-31,MONSOON,1.0414285714285714,2.6147321428571426,2.6005803571428583,2.164433020978809,2.6483895908504596,1.7076457064953798,1.2832066083641909
2009-11-30,POMKH,2.4142857142857137,2.5942964026247863,2.7202232142857157,2.264374098301571,2.607955180341096,2.3172681785156235,2.177595609458119
2010-02-28,POMRB,4.2075,2.68284503739243,2.5092410714285727,3.0416244589809427,2.9003947735503406,4.419190035307132,4.331312481410905
2010-05-31,PREMON,3.05419264956972,2.6021307516781444,2.6793517338210027,3.0466517352164537,2.969373375554907,2.4122958027613643,2.3890444557562738
2010-08-31,MONSOON,1.0693750000000002,2.46081378739243,2.68633834096386,2.2557410411298724,2.6669333705430196,1.4592930287821648,1.5173141669260526
2010-11-30,POMKH,1.740625,2.564727947267644,2.5179231623924316,2.0496946246779233,2.496562713027332,2.4208829835724393,2.0409459336871647
2011-02-28,POMRB,3.750625,2.8457462738095236,2.4037044123924316,2.7300667748067537,2.7022193132506676,4.303913157975671,4.246124125499209
2011-05-31,PREMON,4.342380928571429,3.0620915119047623,2.7257514821428592,3.374992436312624,3.014532029606698,2.6095901390755047,2.6441673929637854
