Date,Season,Senha,Kuru,Kisko,Lohardaga,Bhandra,Senha_Trend,Senha_SMA,Senha_EWMA,Senha_DES,Senha_TES,Senha_ARIMA,Kuru_Trend,Kuru_SMA,Kuru_EWMA,Kuru_DES,Kuru_TES,Kuru_ARIMA,Kisko_Trend,Kisko_SMA,Kisko_EWMA,Kisko_DES,Kisko_TES,Kisko_ARIMA,Lohardaga_Trend,Lohardaga_SMA,Lohardaga_EWMA,Lohardaga_DES,Lohardaga_TES,Lohardaga_ARIMA,Bhandra_Trend,Bhandra_SMA,Bhandra_EWMA,Bhandra_DES,Bhandra_TES,Bhandra_ARIMA
1996-02-29,POMRB,8.74,6.96,8.36,5.3,7.17,,,8.74,7.357130335129262,4.9891973625695885,0.0,,,6.96,5.118546731156638,5.142824051830133,0.0,,,8.36,12.050268602492729,7.970799708612395,0.0,,,5.3,8.588829564241445,5.31,0.0,,,7.17,5.221716351517043,6.443248732873271,0.0
1996-05-31,PREMON,6.0975,8.33,10.48,7.13,6.8,,,7.683,6.5727117706767215,7.1711333287288905,8.739979308970392,,,7.508000000000001,5.248573774522993,6.782501593446502,6.9599733645939885,,,9.207999999999998,14.007834662020281,10.1001759612078,0.0,,,6.032,10.474311565986637,7.148836565096953,5.299983470427125,,,7.022,5.234451122408817,6.882554256735814,7.169962961717342
1996-08-31,MONSOON,3.1207692307692314,1.85,1.57,0.89,2.0,4.362067307692308,,5.8581076923076925,5.530953117743912,3.965377070695658,7.106818261764267,5.254999999999999,,5.244800000000001,4.828812584316364,2.3393412053908254,7.818406781543318,7.08875,,6.152799999999999,11.138412422096186,1.2028955510671064,0.0,4.2075,,3.9751999999999996,8.721677227226314,0.9165342500441223,6.675340456255746,5.09875,,5.013199999999999,5.2472164808170705,2.049117214013645,6.976700044682453
1996-11-30,POMKH,1.71,4.85,8.05,4.0,4.96,3.8070673076923076,4.917067307692308,4.198864615384616,4.485687379927971,3.7835798013661086,5.697904995954233,5.0875,5.4975000000000005,5.086880000000001,4.6959851378089,3.846451994398296,4.6877034020703,7.02625,7.115,6.9116800000000005,10.919633832755455,7.031481930891074,0.0,4.28,4.33,3.9851199999999998,8.010344308815531,4.033127644054535,2.283750177325988,5.13625,5.2325,4.9919199999999995,5.260013258813828,4.7773608074239124,5.21698544380331
1997-02-28,POMRB,4.3,5.02,8.15,4.32,6.1,3.8070673076923076,3.8070673076923085,4.23931876923077,3.9885421223764803,4.977948717243755,7.009248542281437,5.062499999999999,5.0125,5.060128000000001,4.59255995096195,5.208290013847508,6.498961947756263,7.501249999999999,7.0625,7.407008000000001,10.51974398946118,8.807054721171507,8.36,4.42,4.085,4.119072,7.234724487581453,5.337080983913663,5.331836638884171,5.336249999999999,4.965,5.4351519999999995,5.272841355365393,6.744845185317667,6.775490775028829
1997-05-31,PREMON,6.0975,8.93,10.19,8.69,8.17,3.807067307692308,3.807067307692308,4.982591261538461,3.8583719305836124,6.729129718428159,4.714654560191878,4.79125,5.1625,6.608076800000001,4.834182222524907,6.847967554908538,7.163519857693841,7.857500000000001,6.989999999999999,8.5202048,10.87376421362188,10.830190938523387,10.48,4.085,4.4750000000000005,5.9474432,8.29552825192516,7.0563743928563705,6.362436060618636,5.51,5.3075,6.5290912,5.2857009376281034,6.910314096885813,6.436469205464274
1997-08-31,MONSOON,3.1207692307692314,1.05,5.66,0.45,2.23,4.0233173076923086,3.807067307692308,4.23786244923077,3.380833401483431,3.5594464954062404,3.7940369809992354,4.54375,4.9624999999999995,4.384846080000001,4.39924984688088,2.4048071669576054,3.158018956879534,7.63375,8.0125,7.3761228800000005,9.172578742612801,1.815139090074771,1.57,3.5562499999999995,4.365,3.74846592,5.681027629471274,1.0029704861683002,2.3515665229476665,5.7225,5.365,4.80945472,5.2985913005034755,2.088190863179256,2.7578536886217835
1997-11-30,POMKH,1.71,3.48,6.81,1.76,6.12,4.239567307692308,3.807067307692308,3.2267174695384617,2.8123596944133817,3.4108679908725885,2.7173312098477918,4.3075,4.619999999999999,4.022907648,4.203050380246125,3.911917955758444,4.672105338846992,7.52875,7.7025,7.149673728000001,8.161361701903797,8.632162805388834,8.05,2.88875,3.8050000000000006,2.953079552,4.039624186196655,4.063445834585129,3.5627067731359223,5.4275,5.655,5.3336728319999995,5.311513478593857,4.894851544884013,5.031104870670049
1998-02-28,POMRB,6.03,4.41,7.6,2.33,6.64,4.193221153846154,4.239567307692308,4.348030481723077,2.9558112629382203,4.635825624190799,5.099823052273054,4.145,4.467499999999999,4.1777445888,4.103774226287443,5.273755974789659,5.385966011314869,7.45,7.5649999999999995,7.3298042368,7.679828960514064,8.617558103391902,8.15,2.52125,3.307500000000001,2.7038477312,3.047842191598186,4.948238735656925,4.272256610554709,5.06,5.790000000000001,5.8562036992,5.324467220529825,6.582348411363366,6.444591876542505
1998-05-31,PREMON,6.0975,7.65,9.9,5.34,5.27,4.375,4.239567307692308,5.047818289033846,3.135385585919657,6.5832986853821645,5.95106090224861,4.14875,4.147499999999999,5.566646753280001,4.291576535925169,6.913433515712099,7.717131716976386,7.3637500000000005,7.4925,8.35788254208,8.293958627335162,10.621879000858605,10.19,2.58375,2.470000000000001,3.75830863872,3.5310091597868785,6.874961959909756,7.061823039912831,4.765,5.065000000000001,5.6217222195200005,5.337452418796529,7.392234349774197,7.340108396020365
