Date,Season,Dhekiajuli,Dhekiajuli_Trend,Dhekiajuli_SMA,Dhekiajuli_EWMA,Dhekiajuli_DES,Dhekiajuli_TES,Dhekiajuli_ARIMA
1996-02-29,POMRB,2.9541176470588235,,,2.9541176470588235,2.8060339159908407,3.0955312805981223,0.0
1996-05-31,PREMON,1.3133333333333337,,,2.2978039215686277,2.759950452910173,3.1338125645787165,2.9541152681093754
1996-08-31,MONSOON,1.5064705882352938,1.8935539215686275,,1.9812705882352941,2.7202722267967374,1.4296379883419448,2.0216819698532804
1996-11-30,POMKH,1.8105882352941176,2.2522998366013076,1.896127450980392,1.9129976470588235,2.6907462782399434,2.1274668676367368,2.000341447822768
1997-02-28,POMRB,2.933529411764706,2.612893790849674,1.8909803921568626,2.3212103529411765,2.6986782394571125,3.138996463168114,2.6909226272132942
1997-05-31,PREMON,4.2038888888888915,2.678813521241831,2.613619281045752,3.0742817673202625,2.7489632964583897,3.177277746949529,1.495955121425889
1997-08-31,MONSOON,1.5006666666666666,2.789517565359478,2.6121683006535954,2.444835727058824,2.709051578576828,1.473103170937859,2.124881251771445
1997-11-30,POMKH,2.34375,2.6756684027777786,2.745458741830066,2.404401436235294,2.6972645022426303,2.1709320501859475,1.907160767544205
1998-02-28,POMRB,3.2860000000000005,2.520177083333333,2.83357638888889,2.7570408617411766,2.7168941332484464,3.1824616457305472,2.918766105884983
1998-05-31,PREMON,2.940625,2.47634375,2.5177604166666674,2.830474517044706,2.724976107033348,3.22074292965812,2.851873548221435
1998-08-31,MONSOON,1.52,2.4327996323529413,2.5225937500000004,2.306284710226824,2.68568548235313,1.5165683535279224,1.6643424103707882
1998-11-30,POMKH,1.97375,2.5323805147058827,2.43009375,2.1732708261360942,2.6615793961540737,2.2143972327932415,2.1249547534038737
1999-02-28,POMRB,3.3076470588235303,2.6291773897058826,2.4355055147058824,2.6270213192110687,2.6819831391981044,3.2259268283296176,2.9928044093361215
1999-05-31,PREMON,3.7156250000000006,2.6515211397058827,2.629255514705883,3.0624627915266416,2.7159836565435893,3.264208112211679,2.8910618859747874
1999-08-31,MONSOON,1.519375,2.6643152573529414,2.629099264705883,2.445227674915985,2.676747466953973,1.5600335361151259,1.7696662051561884
1999-11-30,POMKH,2.153125,2.6194843750000003,2.673943014705883,2.328386604949591,2.658698854497009,2.2578624153514903,2.093472156590302
2000-02-29,POMRB,3.2306249999999994,2.5771093749999996,2.6546875000000005,2.6892819629697544,2.676609852185949,3.269392010926108,3.1317066313880066
2000-05-31,PREMON,3.4339999999999997,2.603380208333333,2.58428125,2.9871691777818525,2.7012995427777162,3.307673294852023,3.148462087187618
2000-08-31,MONSOON,1.462,2.6478281249999998,2.5699375,2.3771015066691117,2.6602548701527304,1.603498718697094,1.6810683504253494
2000-11-30,POMKH,2.420666666666667,2.7011666666666665,2.6368229166666666,2.3945275706681337,2.651238020998794,2.301327597925856,2.122205440572353
2001-02-28,POMRB,3.318666666666666,2.8052812499999997,2.658833333333333,2.7641832090675464,2.6721931068618456,3.3128571935083033,3.212101324218539
2001-05-31,PREMON,3.772666666666667,2.8877144607843137,2.7434999999999996,3.1675765921071948,2.708282131198902,3.3511384774538033,3.2579674404827577
2001-08-31,MONSOON,1.95625,2.9110330882352944,2.8670625,2.683045955264317,2.6837856735787313,1.6469639012671062,1.716880663414317
2001-11-30,POMKH,2.585882352941177,2.8419601715686276,2.908366421568627,2.644180514335061,2.6803045617520738,2.3447927805268156,2.326433641779494
2002-02-28,POMRB,3.34,2.774954044117647,2.9136997549019608,2.922508308601037,2.701971076883917,3.356322376095796,3.2987308805070312
2002-05-31,PREMON,3.1987499999999995,2.801608455882353,2.7702205882352944,3.033004985160622,2.718901336157971,3.39460366009061,3.434608433119764
2002-08-31,MONSOON,1.994117647058824,2.8123488562091503,2.7796875,2.6174500499199027,2.6956399136741553,1.6904290838905918,1.7363843613150765
2002-11-30,POMKH,2.7612499999999995,2.780143995098039,2.8235294117647056,2.6749700299519414,2.697962996620096,2.3882579631422116,2.434601961298414
2003-02-28,POMRB,3.250555555555555,2.7473549836601303,2.8011683006535946,2.9052042401933873,2.716588245649374,3.399787558680658,3.3590991289975745
2003-05-31,PREMON,3.0305555555555554,2.7125663807189544,2.7591196895424837,2.9553447663382544,2.727841733758654,3.438068842654174,3.376126371816707
2003-08-31,MONSOON,1.9,2.696894914215686,2.735590277777778,2.5332068598029527,2.7013695333550656,1.7338942665134103,1.8185914685376066
2003-11-30,POMKH,2.5770588235294123,2.5570945669934644,2.689542483660131,2.5507476452935363,2.6974794140194387,2.4317231457732493,2.5306359841208588
