Date,Season,Karauli,Nadoti,Todabhim,Sapotra,Hindaun,Karauli_Trend,Karauli_SMA,Karauli_EWMA,Karauli_DES,Karauli_TES,Karauli_ARIMA,Nadoti_Trend,Nadoti_SMA,Nadoti_EWMA,Nadoti_DES,Nadoti_TES,Nadoti_ARIMA,Todabhim_Trend,Todabhim_SMA,Todabhim_EWMA,Todabhim_DES,Todabhim_TES,Todabhim_ARIMA,Sapotra_Trend,Sapotra_SMA,Sapotra_EWMA,Sapotra_DES,Sapotra_TES,Sapotra_ARIMA,Hindaun_Trend,Hindaun_SMA,Hindaun_EWMA,Hindaun_DES,Hindaun_TES,Hindaun_ARIMA
1996-02-29,POMRB,15.9925,5.615,11.62,16.774,17.39,,,15.9925,14.912172889929593,14.951958642275942,0.0,,,5.615,5.661930220783586,5.3454792147580505,0.0,,,11.62,11.544281285544399,11.635941565787324,0.0,,,16.774,17.412926310677122,17.385979391531986,0.0,,,17.39,16.74110577822526,18.608611189410258,0.0
1996-05-31,PREMON,16.234,7.81,11.19,19.502,20.33,,,16.089100000000002,15.33923542400399,15.964166742637712,11.254250298000455,,,6.493,6.509473333496012,7.134034186411024,5.614982599694489,,,11.448,11.283020831045782,11.369865122392666,11.61996760117777,,,17.8652,17.97243142555843,18.05699470729804,16.59063530229887,,,18.566,17.282885537057062,18.63166682981342,17.389954107958392
1996-08-31,MONSOON,10.355999999999998,3.635,11.745,15.234000000000002,15.52,13.387250000000002,,13.795860000000001,13.54944966898362,13.618889550455858,12.344153833499972,4.930625,,5.3498,5.274477779772751,5.802295634400529,6.9072060305335805,11.009999999999998,,11.5668,11.501889376843852,10.168762166925694,11.34049150908751,17.1558125,,16.812720000000002,17.215788843267198,16.799525587464295,19.255678594028627,18.61895833333333,,17.3476,16.532137680461066,16.47113448186364,18.97873272213718
1996-11-30,POMKH,10.874,3.42,10.34,17.183999999999994,18.103333333333328,13.121875000000001,13.364125,12.627116000000001,12.57518094514649,12.480172509979178,10.803300758419294,4.6831249999999995,5.120000000000001,4.57788,4.470020561659558,4.379052302735179,5.254844681808006,10.650833333333335,11.223749999999999,11.076080000000001,10.766980936733258,12.46385677568604,11.58365385452887,17.348499999999998,17.173499999999997,16.961232,17.197324371380244,17.3468528551251,15.092671993756964,18.997916666666665,17.83583333333333,17.64989333333333,16.600556890245326,17.27696614579487,17.53537272710566
1997-02-28,POMRB,16.177500000000002,4.1,9.91,16.6325,23.655,12.915125000000002,13.410375,14.0472696,13.809543471495367,13.451655456367144,14.174813241253393,5.05875,4.741250000000001,4.386728,4.285041935749624,4.321518099884813,4.3618875130101795,10.302291666666667,10.796249999999999,10.609648,10.214369079454993,11.25467749638069,10.845916015966957,18.184625,17.138124999999995,16.8297392,17.033581342553976,17.057665958981808,16.997988900771084,18.671875,19.40208333333333,20.051935999999998,18.054913218111228,18.730671094931058,17.606472876884776
1997-05-31,PREMON,13.926000000000002,7.3450000000000015,10.026666666666666,21.185,17.096666666666668,13.017375000000001,12.833374999999998,13.99876176,13.81577524554537,15.19921098204472,15.365772413670424,5.889375,4.625000000000002,5.5700368000000005,5.51944438464364,5.870434741389884,4.524092769732946,10.067916666666667,10.505416666666665,10.376455466666666,10.056995773222695,10.16261383058595,10.291960784557357,18.942874999999997,17.558874999999997,18.57184352,18.15543411186389,17.798241973689027,17.264646716260277,18.602916666666665,18.593749999999996,18.869828266666666,17.579764006999103,21.215183130019785,20.475067226266244
1997-08-31,MONSOON,11.01,7.105,10.12,20.24,16.145,12.451937500000001,12.996875,12.803257056,12.795037367022974,12.180658133536053,9.173542263840996,6.585625,5.4925000000000015,6.18402208,6.135447202376809,4.928431178708748,5.320633174128769,10.107500000000002,10.099166666666665,10.27387328,10.047446266007052,8.988811764406073,10.134995204731213,19.268562499999998,18.810374999999993,19.239106112,18.713287878297443,17.26379194097137,19.538345401197326,17.61104166666667,18.749999999999996,17.77989696,16.98110877890356,16.73088759153631,18.023572693703
1997-11-30,POMKH,11.038,6.5950000000000015,10.090000000000002,18.244,16.926666666666666,11.81025,13.037874999999998,12.0971542336,12.145419761477223,11.954843292772798,10.902954091045267,6.800000000000001,6.286250000000003,6.348413248000001,6.281516456584851,5.625094124382779,6.14133181778112,10.215416666666668,10.036666666666665,10.200323968,10.025942106797855,11.00724848171545,10.126123596448044,19.1770625,19.075374999999994,18.8410636672,18.574722217007842,19.502251173414844,20.544879659372615,16.694166666666668,18.45583333333333,17.438604842666663,16.717187073970337,17.727924465419353,18.079731836899565
1998-02-28,POMRB,11.49,6.495,10.476666666666668,18.178000000000004,16.896666666666665,11.741000000000001,11.865999999999998,11.85429254016,11.884573462950105,13.227100882745162,15.332952471131337,6.6825,6.885000000000003,6.407047948800001,6.324807533463506,6.508936109926521,6.453334009029045,10.07375,10.178333333333331,10.310861047466666,10.244021537425603,10.548137752762775,10.104752024739545,18.547875,19.461749999999995,18.57583820032,18.456014596258946,18.805188507363887,17.812907244704164,16.527291666666663,16.766249999999996,17.221829572266664,16.514704459963564,18.665146922039085,18.76511570072095
1998-05-31,PREMON,13.48,6.665,10.323333333333332,18.9075,16.52,11.6665,11.754499999999997,12.504575524096,12.415392857553515,13.027341850388797,12.024589286261246,6.3706249999999995,6.7150000000000025,6.510228769280001,6.4201739865417995,8.159157565609586,7.102474068118264,9.732083333333332,10.252499999999998,10.315849961813333,10.243175060040626,10.247542280278134,10.324785120927242,18.151625000000003,18.892374999999994,18.708502920192,18.568569820664493,19.47054065077928,19.35323349272233,16.18958333333333,16.62208333333333,16.941097743359997,16.274039296784483,18.305151886660912,17.317774293326504
