Date,Season,Allahpur,Mohammedpur Deomal,Haldaur(khari Jhalu),Jalilpur,Budhanpur Seohara,Nehtaur,Kiratpur,Noorpur,Najibabad,Afzalgarh,Kotwali,Allahpur_Trend,Allahpur_SMA,Allahpur_EWMA,Allahpur_DES,Allahpur_TES,Allahpur_ARIMA,Mohammedpur Deomal_Trend,Mohammedpur Deomal_SMA,Mohammedpur Deomal_EWMA,Mohammedpur Deomal_DES,Mohammedpur Deomal_TES,Mohammedpur Deomal_ARIMA,Haldaur(khari Jhalu)_Trend,Haldaur(khari Jhalu)_SMA,Haldaur(khari Jhalu)_EWMA,Haldaur(khari Jhalu)_DES,Haldaur(khari Jhalu)_TES,Haldaur(khari Jhalu)_ARIMA,Jalilpur_Trend,Jalilpur_SMA,Jalilpur_EWMA,Jalilpur_DES,Jalilpur_TES,Jalilpur_ARIMA,Budhanpur Seohara_Trend,Budhanpur Seohara_SMA,Budhanpur Seohara_EWMA,Budhanpur Seohara_DES,Budhanpur Seohara_TES,Budhanpur Seohara_ARIMA,Nehtaur_Trend,Nehtaur_SMA,Nehtaur_EWMA,Nehtaur_DES,Nehtaur_TES,Nehtaur_ARIMA,Kiratpur_Trend,Kiratpur_SMA,Kiratpur_EWMA,Kiratpur_DES,Kiratpur_TES,Kiratpur_ARIMA,Noorpur_Trend,Noorpur_SMA,Noorpur_EWMA,Noorpur_DES,Noorpur_TES,Noorpur_ARIMA,Najibabad_Trend,Najibabad_SMA,Najibabad_EWMA,Najibabad_DES,Najibabad_TES,Najibabad_ARIMA,Afzalgarh_Trend,Afzalgarh_SMA,Afzalgarh_EWMA,Afzalgarh_DES,Afzalgarh_TES,Kotwali_Trend,Kotwali_SMA,Kotwali_EWMA,Kotwali_DES,Kotwali_TES,Kotwali_ARIMA
1996-02-29,POMRB,3.855,11.11,7.206666666666666,7.85,2.953333333333333,9.61,16.76,7.46,8.4525,1.18,5.8375,,,3.855,4.321027518152331,3.9951501169348997,0.0,,,11.11,11.329276312331395,11.20720135483974,0.0,,,7.206666666666666,6.720323769337858,7.206901341844631,0.0,,,7.85,7.398675311569119,8.015208333333334,0.0,,,2.953333333333333,5.828950623276927,2.953333333333333,0.0,,,9.61,9.057685502098881,8.714984582063323,0.0,,,16.76,16.346973465357422,16.76,0.0,,,7.46,6.6243847261099065,7.614792175296024,0.0,,,8.4525,7.319738446230213,6.577346176141456,0.0,,,1.18,7.415259673668893,1.18,,,5.8375,5.961149939748318,6.193605200011395,0.0
1996-05-31,PREMON,4.725,11.57,6.909999999999998,10.0,4.8,10.57,16.76,10.49,10.243333333333334,5.46,6.6325,,,4.202999999999999,4.4126776657251146,4.882990181585468,3.1262043285115393,,,11.294,11.38042307711492,11.68420976966126,10.94630139699871,,,7.087999999999999,6.523564347060508,6.9065289486111325,3.5704126555758777,,,8.71,8.400823773430725,10.300212373037859,-4.387947259831854,,,3.6919999999999997,7.6179428360978365,4.8,1.503436417318954e-07,,,9.994,9.361022027292556,9.827547739879277,9.60998325529702,,,16.76,16.35745399142991,16.76,7.414396178127362e-18,,,8.672,7.979597207262835,10.039115235811085,3.693548851438868,,,9.168833333333335,8.04702824430761,8.761585111966514,8.45247570226878,,,2.8920000000000003,15.60406415110382,5.46,,,6.1555,6.26616421390196,6.063235843301111,5.673694864895492
1996-08-31,MONSOON,5.54,11.67,6.4849999999999985,7.68,2.14,6.55,14.63,7.5,6.6400000000000015,3.43,6.136666666666668,4.613125,,4.7378,4.717226653229006,3.7559854352087494,3.8370875404405558,11.25875,,11.4444,11.44632354379046,11.543935597185001,11.24350859506534,6.720416666666666,,6.846799999999999,6.273529620920705,6.494499776946967,2.192756272499436,8.416666666666666,,8.298,8.344243655199925,8.086415466425212,-3.193085607326587,3.2516666666666665,,3.0712,6.007964217082257,2.14,3.611541214819409e-07,7.9375,,8.616399999999999,8.367692366011106,9.043960454742816,10.12816582250514,15.8825,,15.908000000000001,16.367941227691627,14.63,6.681988448414092e-18,8.3675,,8.203199999999999,7.704542333451559,7.587667089392098,5.532121332341603,7.029687500000001,,8.157300000000003,7.758974980168179,8.024350943099757,9.390992294487226,3.2125,,3.1072,11.85566878539575,3.4299999999999997,6.154791666666666,,6.147966666666667,6.1652557404301955,5.777418922047512,6.212424768690611
1996-11-30,POMKH,4.19,10.69,6.28,7.42,3.1133333333333333,6.49,15.83,7.8,5.256666666666667,2.78,6.0175,4.7075000000000005,4.577500000000001,4.51868,4.531521719466284,4.997440621652466,4.409633266042151,11.660625,11.26,11.14264,11.194102882963886,11.031856135698192,11.552185891414064,6.720416666666666,6.720416666666666,6.62008,6.044550031904947,6.271993360911688,5.627310759222921,8.595833333333333,8.2375,7.9468,8.142894470511626,7.905717408785126,-6.043488984115933,3.2516666666666665,3.2516666666666665,3.0880533333333333,4.946381821659043,3.1133333333333333,4.490047178453243e-07,7.227500000000001,8.305,7.765839999999999,7.669501381207072,8.027269303570375,8.639361108969991,15.475000000000001,15.995000000000001,15.876800000000001,16.378435192731697,15.83,-2.9298331447006284e-18,8.2175,8.3125,8.04192,7.6505584351241165,7.787927797988999,5.406500362567302,5.983333333333333,7.648125,6.997046666666669,7.2115981248450085,7.309705658826679,8.33273938633944,3.198125,3.2125,2.97632,5.904073516923158,2.78,6.197604166666666,6.156041666666667,6.0957799999999995,6.055704746471585,6.016874477628574,6.133849079684501
1997-02-28,POMRB,4.1400000000000015,11.1,7.206666666666666,9.283333333333333,2.953333333333333,6.67,15.86,7.9,3.505,1.18,5.8275,4.81125,4.648750000000001,4.367208,4.387052753871228,4.424721932662072,3.8392636183210596,12.015625,11.2575,11.125584,11.143712824375179,11.071631152869053,11.072821982629893,6.720416666666665,6.720416666666666,6.854714666666666,6.198368377997777,7.207553313214912,5.647341005149224,8.424583333333333,8.595833333333333,8.481413333333332,8.670818912290581,8.355607991790704,7.787239934339283,3.251666666666667,3.2516666666666665,3.034165333333333,3.8835054811195646,2.953333333333333,2.8570257254769675,7.530625000000001,7.57,7.327503999999999,7.24513635740503,7.843312537281481,7.842751558260234,15.179999999999998,15.77,15.870080000000002,16.38893588584433,16.76,16.759995417362326,7.967500000000001,8.4225,7.985151999999999,7.684796933421008,7.558363063530895,7.391921423287755,5.45875,6.411250000000001,5.600228000000001,6.3778526553200905,6.795739699944365,7.434640704213708,3.1837500000000003,3.2125,2.257792,1.7473854677452711,1.18,6.508333333333333,6.153541666666667,5.988467999999999,5.906172211785763,6.554686327225768,6.036016621408809
1997-05-31,PREMON,5.195,14.795,6.909999999999998,10.0,4.8,7.83,14.4,8.85,6.82,5.3450000000000015,6.985,4.891875000000001,4.766250000000001,4.6983248,4.597507449362801,5.221021762151574,4.581644901996377,11.963333333333335,12.06375,12.5933504,12.232159649715102,11.588488500075195,10.919633345192345,6.720416666666666,6.720416666666667,6.876828799999999,6.282349503556471,6.906948973670694,6.224648109836418,8.575833333333332,8.595833333333333,9.088847999999999,9.395350376274143,10.778161431190618,9.365829250342792,3.2516666666666665,3.251666666666666,3.7404991999999995,4.411315543910647,4.8,4.643472949366683,8.585625,6.885,7.528502399999999,7.301093113438593,8.202708255015988,7.429836257190788,15.18,15.18,15.282048,16.399443304950353,16.655290858725763,16.75999541736206,7.780833333333334,8.0125,8.3310912,8.206748477091809,10.479359891580403,10.491992399260548,5.3734375,5.555416666666668,6.088136800000001,6.516074069340247,7.59261994308986,6.70044079646536,3.1837500000000003,3.18375,3.4926752000000008,5.40578544833616,5.46,6.8440625,6.241666666666667,6.3870808,6.417154693474291,6.2300102714601895,5.892076585765607
1997-08-31,MONSOON,5.9,11.285,6.4849999999999985,6.31,2.14,11.715,14.63,7.1400000000000015,5.866666666666667,3.43,8.27,4.975625,4.856250000000001,5.17899488,4.952575269519745,4.177577015265618,5.488206996062384,12.014166666666664,11.967500000000001,12.07001024,11.920388742230429,12.50202482774004,12.870003746033873,6.720416666666666,6.720416666666667,6.720097279999999,6.247120537928873,6.494770373262542,5.169263562906147,8.987916666666667,8.253333333333334,7.977308799999999,8.518936073172766,8.448027538162815,7.449157050130748,3.2516666666666665,3.251666666666666,3.10029952,3.014102963203551,2.14,2.070215034702104,9.139999999999999,8.17625,9.20310144,8.500144314871884,7.013042916099704,7.567578876989912,15.23625,15.179999999999998,15.0212288,16.409957461612763,14.25293014940033,14.629995999761283,7.745416666666667,7.922499999999999,7.85465472,7.784051447435359,7.253650314712694,6.713079064956926,5.664166666666667,5.362083333333334,5.999548746666667,6.398131768346385,6.249949898503239,6.040052065875669,3.1837500000000003,3.18375,3.467605120000001,4.315841692078824,3.4089750692520777,7.149375,6.7749999999999995,7.1402484799999995,7.315889165980165,6.041443574343499,6.413508918124947
1997-11-30,POMKH,4.475,10.656666666666666,6.28,10.0,3.1133333333333333,9.765,15.83,6.666666666666668,5.3475,2.78,6.57,5.046250000000001,4.927500000000001,4.897396928,4.780022148755662,5.380033531390625,4.399198721108768,11.531041666666665,11.959166666666668,11.504672810666666,11.512977583624373,11.56372424774594,12.683416820794342,6.720416666666666,6.720416666666667,6.544058368,6.170580131917798,6.272167689476939,5.000878458096052,9.0775,8.898333333333333,8.78638528,9.152307764275198,7.915538718645275,8.382791707519798,3.2516666666666665,3.251666666666666,3.1055130453333333,2.7866418367417323,3.1133333333333333,3.0118081558153533,9.285,8.995,9.427860864,8.738687921917002,8.616695786264,8.981066555428626,15.440000000000001,15.18,15.34473728,16.420478364312867,15.461838100342943,15.829995671649764,7.881666666666668,7.639166666666667,7.379459498666668,7.207424479225183,7.513834015018867,7.525901213062138,5.869791666666666,5.3847916666666675,5.738729248,6.185127192036863,5.804152585018255,5.726782136531442,3.198125,3.18375,3.1925630720000004,2.89686969784021,2.759951926397127,7.486875,6.913125000000001,6.912149088,6.897928891366868,7.259712582536736,7.321117978995471
1998-02-28,POMRB,4.525,11.54,7.206666666666666,10.0,2.953333333333333,7.83,16.310000000000002,8.75,5.7399999999999975,1.18,7.7175,4.648125,5.0237500000000015,4.7484381568,4.674252748779007,4.74552079439939,4.149447580862837,10.944791666666667,12.069166666666668,11.518803686399998,11.498793749310074,11.42413605750573,10.922589787769528,6.720416666666665,6.720416666666666,6.809101687466667,6.429389934629853,7.207665622388809,5.189953259113231,9.53875,9.0775,9.271831167999999,9.685218712769311,9.071207177675161,7.702024450388072,3.251666666666667,3.251666666666666,3.0446411605333332,2.6436783614144357,2.953333333333333,2.9219377731399754,8.728125,9.284999999999998,8.7887165184,8.323926087990632,9.41067219835896,9.247077576783907,15.587499999999999,15.2925,15.730842368000001,16.43100601428662,15.598624570573113,15.993119786400168,7.866666666666667,7.851666666666668,7.927675699200001,7.79513704186831,7.325297526546574,7.291828971902607,5.646145833333334,5.943541666666667,5.7392375487999985,6.11349094596627,5.718914115120872,5.505775804668077,3.2125,3.18375,2.3875378432,1.1040480716463636,1.1612743564096506,7.4725,7.385625000000001,7.234289452800001,7.2724364576811755,7.436047362675252,6.892611200978856
1998-05-31,PREMON,5.375,10.49,6.909999999999998,10.0,4.8,7.83,15.580000000000002,9.09,6.23,5.46,7.795,3.9524999999999997,5.068750000000001,4.99906289408,4.851236495758432,5.582471613736871,5.092664916539414,10.925833333333333,10.992916666666668,11.10728221184,11.169710604755343,11.968759435861068,11.876660539881332,6.720416666666666,6.720416666666667,6.849461012479999,6.575644765237428,6.9070213275647525,5.658335483464999,9.21875,9.0775,9.563098700799998,10.09903059837084,11.137215015650684,9.118858249402873,3.2516666666666665,3.251666666666666,3.7467846963199998,4.000070494802261,4.8,4.748973351602545,7.9281250000000005,9.284999999999998,8.40522991104,8.039883614730469,9.621730689251685,8.767140626604244,15.587500000000002,15.5875,15.670505420800001,16.441540410668487,14.442055551829714,14.749063327813866,7.7195833333333335,7.911666666666667,8.39260541952,8.475248036432447,9.177737664994225,9.077054973967284,5.199062499999999,5.796041666666667,5.935542529279999,6.173655512434612,7.405222294125402,6.379170373052281,3.2125,3.2124999999999995,3.6165227059200005,7.454812157124832,5.40048640493076,7.125937500000001,7.588125000000002,7.458573671680001,7.494917913153823,7.639518101147676,7.270834940719732
