Date,Season,Ramnagar,Harraiya,Bankati,Bahadurpur,Rudauli,Kaptanganj,Kudaraha,Basti,Vikram Jot,Ramnagar_Trend,Ramnagar_SMA,Ramnagar_EWMA,Ramnagar_DES,Ramnagar_TES,Ramnagar_ARIMA,Harraiya_Trend,Harraiya_SMA,Harraiya_EWMA,Harraiya_DES,Harraiya_TES,Harraiya_ARIMA,Bankati_Trend,Bankati_SMA,Bankati_EWMA,Bankati_DES,Bankati_TES,Bankati_ARIMA,Bahadurpur_Trend,Bahadurpur_SMA,Bahadurpur_EWMA,Bahadurpur_DES,Bahadurpur_TES,Bahadurpur_ARIMA,Rudauli_Trend,Rudauli_SMA,Rudauli_EWMA,Rudauli_DES,Rudauli_TES,Rudauli_ARIMA,Kaptanganj_Trend,Kaptanganj_SMA,Kaptanganj_EWMA,Kaptanganj_DES,Kaptanganj_TES,Kaptanganj_ARIMA,Kudaraha_SMA,Kudaraha_EWMA,Kudaraha_TES,Kudaraha_ARIMA,Basti_Trend,Basti_SMA,Basti_EWMA,Basti_DES,Basti_TES,Basti_ARIMA,Vikram Jot_Trend,Vikram Jot_SMA,Vikram Jot_EWMA,Vikram Jot_DES,Vikram Jot_TES,Vikram Jot_ARIMA
1996-02-29,POMRB,5.3742105263157915,1.97,3.035,6.3277777777777775,3.5600000000000005,3.9,5.7,5.88,3.71,,,5.3742105263157915,5.4654038277211265,4.952690550279765,0.0,,,1.97,5.425441530265512,2.985704502919419,0.0,,,3.035,2.5276987458788662,2.7123494517709155,0.0,,,6.3277777777777775,7.051958869489947,6.947207579295947,0.0,,,3.5600000000000005,2.9187832258016586,3.6951485946426836,0.0,,,3.9,3.2536542078277453,3.5178853283878793,0.0,,5.7,5.7,0.0,,,5.88,4.98327398751416,6.061838094268769,0.0,,,3.71,3.3592030401086346,3.6498120323269516,0.0
1996-05-31,PREMON,6.953684210526316,4.63,3.825,9.232999999999999,5.09,3.51,5.7,6.71,4.34,,,6.006000000000002,5.487766535944087,7.562579517708171,3.957256738020102e-11,,,3.034,6.762264152160685,3.9279015553025305,1.9699988898392902,,,3.351,2.552800844539899,3.400234897844818,3.0349981331211278,,,7.489866666666666,7.492250893927299,8.044359951076071,4.294980590644788,,,4.172000000000001,2.9448118249091713,5.277479057356819,2.864021297637022,,,3.7439999999999998,3.2477361071989237,4.482062229764028,3.525781141459631,,5.7,5.7,0.0,,,6.212,5.03834017042409,6.747984622317012,2.7809317228386963,,,3.9619999999999997,3.520750295616144,4.36343454528233,1.6221645497768554e-07
1996-08-31,MONSOON,3.804444444444445,3.35,1.4,5.36888888888889,3.685,2.26,,4.25,3.07,5.180116959064329,,5.125377777777779,5.510220739744419,3.358471199909668,-3.990293074522407e-11,3.438125,,3.1604,5.314242717408509,2.1260263999005313,3.5194478050395555,2.63625,,2.5705999999999998,2.5411537493556113,1.7841737599403646,3.53344002388482,7.060506944444445,,6.641475555555555,7.03200451499335,6.635617603992206,6.300276867725827,3.820625,,3.9772000000000003,2.7079985483857714,2.11482679103822,3.862996687010696,3.09625,,3.1504,3.0284820849837124,2.187274070903399,3.362763066454645,,,,,5.5525,,5.4272,4.701775860500948,3.452994489829753,3.5407512663577845,3.56875,,3.6052,3.335768137844061,3.0958604768182756,3.026313438719685e-07
1996-11-30,POMKH,4.5244444444444465,3.08,2.31,7.055,2.96,3.095,,5.38,3.26,5.168910818713451,5.1641959064327505,4.885004444444446,5.532766820274681,4.6054008889634614,-5.889601815068934e-11,3.556875,3.2575,3.12824,3.813768758475992,2.7987872597046253,3.1459337475760027,2.6237500000000002,2.6425,2.46636,2.5433255847805216,2.3077374592249087,2.3334432955560307,7.126222222222222,6.996166666666666,6.806885333333333,7.02133440268204,6.651403892213126,6.783800773241078,3.8831250000000006,3.8237500000000004,3.5703199999999997,2.412631002857502,3.3631489309875753,3.777174417303418,3.0175,3.19125,3.12824,2.9869527268138496,2.894525600005534,2.802346095528633,,,,,5.538749999999999,5.555,5.40832,4.611536266111173,5.697138821259591,3.4978005224738924,3.5275,3.595,3.4671199999999995,3.2349823847115897,3.3005256236076606,3.3073860899732533e-07
1997-02-28,POMRB,5.5015789473684205,3.415,2.9850000000000003,6.8425,3.535,3.14,5.7,5.86,3.5,5.194463364293086,5.196038011695908,5.131634245614036,5.555405153915949,5.233065302021725,4.749916602092631,3.348125,3.61875,3.242944,3.2974855379329027,2.8998845130807185,2.576250759827226,2.689375,2.63,2.673816,2.555609335491003,2.7355665541618577,2.8033951644516883,7.407875000000001,7.124847222222222,6.8211312,6.968507710167397,6.863637014177201,5.986307087102327,3.620625,3.8175000000000003,3.556192,2.4066005920796205,3.905878635065558,3.53224576905583,2.9995833333333337,3.00125,3.132944,2.961742747165399,3.3588651890763743,3.6080194210710914,,5.7,5.7,0.0,5.635,5.55,5.588992,4.637949706353553,6.13235509869022,5.693440052434429,3.5587500000000003,3.5425000000000004,3.4802719999999994,3.226344479149426,3.662574745144754,3.709999846738125
1997-05-31,PREMON,6.736666666666667,4.135,3.775,9.244000000000002,5.615,3.64,5.7,6.62,4.22,5.307446922299622,5.141783625730996,5.773647214035089,5.5781361185907645,7.811893999311968,6.145911090669851,3.16,3.495,3.5997664,3.8125895065253084,4.065396827399878,4.150155222503612,2.8775000000000004,2.6174999999999997,3.1142896,2.579603069190465,3.4234519997761823,3.4179287642626117,7.745777777777779,7.127597222222223,7.79027872,7.428722569038059,8.13090128799604,8.549616415221413,3.1950000000000003,3.9487500000000004,4.3797152,3.0879924191605688,5.429379633542769,4.775698296916843,2.9116666666666666,3.0337500000000004,3.3357664000000002,3.029617032193179,3.967756192220712,2.9871528376947776,5.7,5.7,5.7,0.0,5.7700000000000005,5.5275,6.0013952,4.819422355524537,6.8195279455134425,6.435203699594252,3.6049999999999995,3.5125,3.776163199999999,3.4351478046631394,4.30834412032163,4.313523717510271
1997-08-31,MONSOON,4.225882352941177,2.175,1.975,7.6111111111111125,1.06,1.9866666666666664,,5.11,3.44,5.365126902734778,5.247143102855179,5.154541269597524,5.6009600867503915,3.5131203260362307,3.3625020344670227,3.0543749999999994,3.2012500000000004,3.02985984,2.4196742467044188,2.329588007750885,3.363035789396565,2.951875,2.7612499999999995,2.6585737600000003,2.5762504230706726,1.8073908612971166,2.029804187166657,7.92571527777778,7.688152777777779,7.718611676444445,7.450490633828973,6.7006803410318625,5.606927095874198,3.01125,3.2925,3.05182912,2.406864514392557,2.3598391336232396,3.748684038718609,2.8066666666666666,2.965416666666667,2.7961265066666665,2.804020448079341,2.0538674015388336,2.5901958168919017,,,,,5.7749999999999995,5.7425,5.64483712,4.748396936799733,3.6307924293081912,4.144368909151435,3.618125,3.6050000000000004,3.6416979199999995,3.418437705956068,3.0277024241860615,3.0406475301102773
1997-11-30,POMKH,5.006875,2.75,3.24,7.516000000000001,2.18,2.665,,5.6,3.26,5.385713848039216,5.367750741744068,5.095474761758514,5.6238774447051325,4.814208111770837,3.9988634007989483,2.94625,3.1187500000000004,2.917915904,2.337925134659351,2.878921581714288,2.8522715088445265,2.8762499999999998,2.9937499999999995,2.8911442560000005,2.5919432725450995,2.330954564191119,2.5080701998331767,8.07640277777778,7.803402777777778,7.637567005866668,7.44778442455183,7.335495848955373,7.474612383431163,2.91625,3.0975,2.7030974719999996,2.1718576222901476,2.8919127661546304,2.7480013402195906,2.7229166666666664,2.8579166666666667,2.743675904,2.7297581789193726,2.678397405850908,2.9188397944089006,,,,,5.7437499999999995,5.7975,5.626902272,4.783134764681329,5.861791479349535,5.55447791181026,3.6387499999999995,3.605,3.489018752,3.3565741088721763,3.3110934550411035,3.2875020256248786
1998-02-28,POMRB,5.4805882352941175,2.9,2.65,7.8210000000000015,2.845,2.73,5.7,5.68,3.605,5.356861213235295,5.362503063725493,5.249520151172756,5.64688857403778,5.497418034566993,5.092846679398394,2.8025,2.99,2.9107495423999996,2.590044005398296,3.00942235923132,2.81158203436995,2.6525,2.9099999999999993,2.7946865536,2.598572379562893,2.758783665010762,3.1707478890888003,7.784777777777779,8.04802777777778,7.710940203520002,7.509391134562639,7.484297494013508,7.120388142917339,2.9,2.9250000000000003,2.7598584832,2.198736406786052,3.3575864830161426,3.1969463384642443,2.5720833333333335,2.7554166666666666,2.7382055424000002,2.67973173539844,3.016300750361565,3.0353821588650636,5.7,5.7,5.7,0.0,5.248749999999999,5.7525,5.6481413632,4.844731445524983,6.320351367441237,5.8327865767456215,3.6231249999999995,3.6312499999999996,3.5354112511999998,3.4004873255851824,3.633844519536024,3.6074124519137207
1998-05-31,PREMON,6.922352941176469,3.785,3.505,9.471,5.545,3.38,5.7,6.55,4.2799999999999985,5.330629595588235,5.408924632352943,5.918653267174241,5.669993860127751,8.018322040557802,6.404076524474624,2.6662500000000002,2.9025000000000003,3.26044972544,3.7185636832722513,4.116649654670236,3.984054284821462,2.2606249999999997,2.842499999999999,3.07881193216,2.617960270046529,3.4466691083263994,3.4618148688501442,7.311527777777779,8.10477777777778,8.414964122112,7.902817699323858,8.853305869895465,9.216498155280448,2.953125,2.9075,3.8739150899199997,3.100196285305212,4.845722466566471,4.805563426949152,2.381875,2.6904166666666667,2.9949233254400003,2.7520907303648983,3.5853253527629776,2.993068402981856,5.7,5.7,5.7,0.0,4.60625,5.735,6.00888481792,5.068682435476784,6.919237358788994,6.440627007245556,3.5999999999999988,3.6462499999999993,3.833246750719999,3.6362558439723847,4.327690039470028,4.285883654339151
