Date,Season,Jalkot,Deoni,Nilanga,Udgir,Latur,Ahmadpur,Chakur,Shirur-anantpal,Ausa,Jalkot_Trend,Jalkot_SMA,Jalkot_EWMA,Jalkot_DES,Jalkot_TES,Jalkot_ARIMA,Deoni_Trend,Deoni_SMA,Deoni_EWMA,Deoni_DES,Deoni_TES,Deoni_ARIMA,Nilanga_Trend,Nilanga_SMA,Nilanga_EWMA,Nilanga_DES,Nilanga_TES,Nilanga_ARIMA,Udgir_Trend,Udgir_SMA,Udgir_EWMA,Udgir_DES,Udgir_TES,Udgir_ARIMA,Latur_Trend,Latur_SMA,Latur_EWMA,Latur_DES,Latur_TES,Latur_ARIMA,Ahmadpur_Trend,Ahmadpur_SMA,Ahmadpur_EWMA,Ahmadpur_DES,Ahmadpur_TES,Ahmadpur_ARIMA,Chakur_Trend,Chakur_SMA,Chakur_EWMA,Chakur_DES,Chakur_TES,Chakur_ARIMA,Shirur-anantpal_Trend,Shirur-anantpal_SMA,Shirur-anantpal_EWMA,Shirur-anantpal_DES,Shirur-anantpal_TES,Shirur-anantpal_ARIMA,Ausa_Trend,Ausa_SMA,Ausa_EWMA,Ausa_DES,Ausa_TES,Ausa_ARIMA
1996-02-29,POMRB,3.1,2.57,6.855,6.585000000000001,6.855,6.05,4.6525,8.55,6.757999999999997,,,3.1,30.303618901236508,4.825984705115597,0.0,,,2.57,0.011479273818430037,2.5799999999999996,0.0,,,6.855,3.760917594477081,6.034642570955585,0.0,,,6.585000000000001,3.4721062750735885,4.594532765715149,0.0,,,6.855,7.479357222882844,7.215599523379545,0.0,,,6.05,11.392779469334494,6.165053680645924,0.0,,,4.6525,15.813012337167903,5.777655920888466,0.0,,,8.55,4.954136017925915,1.7906340071619953,0.0,,,6.757999999999997,10.317541597950115,7.1778189580098966,0.0
1996-05-31,PREMON,17.3,10.0,10.9,12.8,12.925,8.9,12.9,3.6,11.175,,,8.780000000000001,64.4505105792525,13.825804879477168,2.3066695793850647,,,5.542,2.8027883673549105,10.018836565096954,2.5699409524867276,,,8.473,4.8956940615011675,9.361634814452914,6.854883745563818,,,9.071000000000002,4.4840134698445695,12.00694466840973,6.58466428976479,,,9.283000000000001,7.486224232029229,10.282433749696182,4.161014285822947,,,7.19,14.773835823221873,10.681213321965508,0.0,,,7.951499999999999,24.271803153609387,10.41083567350277,4.6524477684524,,,6.57,4.234270218742618,6.994086220722048,8.549878101407598,,,8.524799999999999,14.99524196052664,9.39274707543398,5.482852674591134
1996-08-31,MONSOON,2.79,3.035,4.47,3.555,4.6625,4.513333333333333,1.625,0.77,4.63,6.95625,,6.384,42.71462873271976,3.2778914654172855,7.490193030093803,4.525,,4.5392,2.841200235090766,3.0615342500441223,6.958788565876354,6.475625,,6.8718,4.6590246806928075,5.2669305024745805,8.880959726473389,6.66,,6.864600000000001,4.310161874782999,3.025352538812334,9.738548107179065,7.108125,,7.434800000000001,7.493097488793775,6.981076187036586,7.327582759046982,5.734166666666667,,6.1193333333333335,14.953940543282494,3.769096221806647,0.0,5.4296875,,5.4209,17.00770153129409,2.9703756572364988,10.061296839536602,2.68625,,4.25,3.1310879549612944,2.812482691431191,6.065846980667238,6.745791666666666,,6.96688,12.263496065635273,6.430295553591839,7.776364892039419
1996-11-30,POMKH,2.5,2.0,3.905,3.975,4.404999999999999,3.71,2.455,1.4,4.17,7.337083333333334,6.4225,4.8304,17.484319066461644,3.6854630895175995,9.930693621354793,3.8425000000000002,4.40125,3.5235200000000004,2.5235031943022466,2.0331276440545354,4.203830662388071,6.2071875,6.532500000000001,5.68508,4.3526167974998735,4.546530142951139,7.402054804193114,6.37875,6.728750000000001,5.708760000000001,4.206419214220191,6.199463571482454,7.576296701789594,6.5653125,7.211875000000001,6.22288,7.499977054228083,5.417162613791401,8.20243302270508,5.977083333333334,5.793333333333333,5.1556,13.676203230080347,3.6374148869938194,0.0,5.460312500000001,5.408125,4.23454,10.088029431666074,2.7170250086670276,3.8637235266951846,1.74125,3.58,3.11,2.477990012155941,2.0764600722245303,4.278956483375243,6.631458333333334,6.683249999999999,5.848128,9.204907320149022,5.186676410423112,7.930465785881801
1997-02-28,POMRB,7.37,3.56,6.4,6.035,6.025,5.576666666666667,4.825,1.4,7.258333333333333,7.397916666666666,7.49,5.84624,8.705377567764497,5.075533464404346,2.205806963952384,2.8443750000000003,4.64875,3.538112,2.8116254458772585,2.6065546681241902,2.9051073733567794,6.456874999999999,6.41875,5.971048000000001,4.605997661637449,6.82167205479036,6.6170214288617935,6.408125000000001,6.5912500000000005,5.839256000000001,4.352435581161922,5.071197872426479,6.550392786746203,6.5175,7.0043750000000005,6.143727999999999,7.506862947098005,6.994554120222088,5.908396672624593,7.03125,5.675,5.324026666666667,12.54713401881034,6.276538525743986,6.049945619755821,6.047500000000001,5.45125,4.470724000000001,6.71558871585426,5.8791546137072705,4.209964452735028,1.805,1.7925,2.4259999999999997,2.016018818142172,2.1069322824615115,5.673366332515096,7.076874999999999,6.808333333333334,6.412210133333334,8.89040976906891,6.586978080281037,5.8644314866973435
1997-05-31,PREMON,16.076666666666664,3.55,9.2075,11.1,9.4125,11.316666666666668,12.972500000000002,3.19,9.76,8.001666666666667,7.184166666666665,9.938410666666666,14.647385340828206,15.968352490878214,13.938841076012377,2.6675,3.03625,3.5428672,3.0707126858771447,10.1546409040096,8.20985725197955,7.2503125,5.995625,7.2656288,5.454644045141271,10.068587601372165,7.888358982931284,6.861875000000001,6.166250000000001,7.943553600000001,5.063363180999552,12.360831359760454,7.32384321656486,7.24,6.12625,7.4512368,7.513755185426512,9.869732091150206,10.805875026968996,8.372916666666667,6.279166666666667,7.721082666666668,13.586710018189532,10.784762949637342,8.899920002616001,6.903437500000001,5.469375000000001,7.871434400000002,10.821556037000255,10.538331091797165,10.3827985080367,2.0212499999999998,1.69,2.7316,2.064110447639868,6.105754190385108,3.062975761324002,7.933229166666667,6.454583333333333,7.75132608,10.212807841897943,9.33880613546275,10.06228262110406
1997-08-31,MONSOON,4.5,1.5,8.159999999999998,5.49,7.7925,10.53,6.25,1.69,9.608333333333334,8.382916666666667,7.611666666666666,7.7630463999999995,6.166747949081716,3.835639664205222,4.894406334887029,2.5062499999999996,2.6525,2.7257203199999998,2.5713604168968605,2.439197262642103,2.2948700117638494,7.615312499999999,6.918125,7.623377279999999,6.046735952603888,5.810737157902646,5.971786910697463,7.01625,6.65,6.962132160000001,5.042959507890142,3.133615850498331,6.727288889013523,7.69,6.9087499999999995,7.58774208,7.520653740437018,5.592775123111117,4.052653442446692,9.294583333333334,7.783333333333334,8.8446496,13.787517533385598,3.9034434453969578,4.51329276537156,7.311875,6.625625000000001,7.222860640000001,8.458764732003505,3.0777348153890074,3.9796028746079184,2.21,1.92,2.3149599999999997,1.7897560086892488,2.0013258875122415,1.8497100052835338,8.467291666666668,7.699166666666666,8.494128981333333,10.759673104030432,5.706660886164752,4.800034465225391
1997-11-30,POMKH,5.62,2.12,6.5625,5.67,7.055,8.426666666666668,4.6775,2.21,6.0425,8.489583333333332,8.391666666666666,6.90582784,4.288918683729056,4.785740274841531,4.4899018173435215,2.28625,2.6825,2.483432192,2.3636901147788683,1.2399419742734676,2.0512404411914753,7.733124999999999,7.5825,7.199026367999999,6.261796094189076,5.291610110048432,6.014979445050954,6.424374999999999,7.07375,6.445279296000001,5.046200185576551,6.526185496796332,6.5652822442962675,8.1109375,7.571249999999999,7.374645248,7.527558624027156,5.450906259143185,5.166431934097391,9.610833333333334,8.9625,8.677456426666668,12.699743518174946,3.850565231533758,3.7099666527758837,6.667812499999999,7.181250000000002,6.204716384000001,5.7965117716376575,4.47849270968193,4.8805567744376805,2.3800000000000003,2.1225,2.272976,1.7059182559477744,1.5446122207363429,2.1067221949124386,8.780104166666666,8.167291666666666,7.5134773888,8.510926261575218,7.2686306521697,6.129469634305266
1998-02-28,POMRB,7.3,2.15,6.6625,5.5749999999999975,6.9750000000000005,8.233333333333334,5.869999999999999,2.1,9.658333333333333,8.17375,8.374166666666666,7.063496703999999,5.981990068340674,7.126781757412912,6.033668910282165,2.1762499999999996,2.33,2.3500593151999998,2.213790843425315,2.053920971712068,3.0901583421954477,7.266875,7.648125,6.9844158208,6.47173129647927,7.697461314600822,6.8660804849582515,5.598749999999999,6.958749999999999,6.097167577599999,5.038576256956918,5.561551553299632,6.5890419752763485,7.8815625,7.80875,7.214787148800001,7.5344698465507065,7.85171202119857,7.322487179552823,8.564166666666667,9.626666666666667,8.499807189333335,11.438385562107683,6.55061906307713,5.812662011375775,5.333125,7.442500000000002,6.0708298304,5.149437790124708,7.8094266732322035,5.427869906762699,2.3825,2.2975,2.2037856,1.6266861761891485,1.7915813519178592,2.1167650427970126,7.907375000000001,8.767291666666665,8.371419766613332,9.372837108908623,8.565872729864715,8.50022298319065
1998-05-31,PREMON,17.0,3.2,9.8875,6.8249999999999975,11.83,11.19,6.775,3.85,9.8625,7.215,8.605,11.0380980224,22.40208581183735,17.020827177819978,15.743452331280421,2.1574999999999998,2.2424999999999997,2.69003558912,2.4726262330682625,7.847809761851829,5.634855775822562,6.3265625,7.818125000000001,8.14564949248,7.352110736949279,10.912412564386567,7.384186458686116,5.054999999999999,5.889999999999999,6.388300546559998,5.176113990904649,12.737532674144308,9.048208797550476,6.905625000000001,8.413124999999999,9.06087228928,7.54138744792902,10.756110182159777,11.098744003267539,6.834166666666667,9.594999999999999,9.575884313600001,11.485043625246108,11.091830165829528,10.111582522665472,4.4696875,5.893125000000001,6.35249789824,5.663627547856367,12.144465813344011,11.960215437719086,2.1637500000000003,2.4625,2.86227136,1.9430595784933418,5.954222391717751,2.8909442793847857,6.7131875,8.792916666666665,8.967851859968,10.006904125998803,11.524900913344062,11.337082255209882
