Date,Season,Ankola,Haliyal,Yellapur,Kumta,Mundgod,Honavar,Siddapur,Bhatkal,Karwar,Supa,Sirsi,Ankola_Trend,Ankola_SMA,Ankola_EWMA,Ankola_DES,Ankola_TES,Ankola_ARIMA,Haliyal_Trend,Haliyal_SMA,Haliyal_EWMA,Haliyal_DES,Haliyal_TES,Haliyal_ARIMA,Yellapur_Trend,Yellapur_SMA,Yellapur_EWMA,Yellapur_DES,Yellapur_TES,Yellapur_ARIMA,Kumta_Trend,Kumta_SMA,Kumta_EWMA,Kumta_DES,Kumta_TES,Kumta_ARIMA,Mundgod_Trend,Mundgod_SMA,Mundgod_EWMA,Mundgod_DES,Mundgod_TES,Mundgod_ARIMA,Honavar_Trend,Honavar_SMA,Honavar_EWMA,Honavar_DES,Honavar_TES,Honavar_ARIMA,Siddapur_Trend,Siddapur_SMA,Siddapur_EWMA,Siddapur_DES,Siddapur_TES,Siddapur_ARIMA,Bhatkal_Trend,Bhatkal_SMA,Bhatkal_EWMA,Bhatkal_DES,Bhatkal_TES,Bhatkal_ARIMA,Karwar_Trend,Karwar_SMA,Karwar_EWMA,Karwar_DES,Karwar_TES,Karwar_ARIMA,Supa_Trend,Supa_SMA,Supa_EWMA,Supa_DES,Supa_TES,Supa_ARIMA,Sirsi_Trend,Sirsi_SMA,Sirsi_EWMA,Sirsi_DES,Sirsi_TES,Sirsi_ARIMA
1996-02-29,POMRB,7.905,3.54,9.045,5.7120000000000015,10.4,5.23,7.536666666666667,7.795,2.7975,6.895999999999999,9.976666666666668,,,7.905,7.445399908186858,8.088750000000001,0.0,,,3.54,4.028145345757934,3.656080546208652,0.0,,,9.045,4.9217775969257085,7.185737531414662,0.0,,,5.7120000000000015,4.832054771543816,5.827093750000001,0.0,,,10.4,8.289557259880063,9.609210984611172,0.0,,,5.23,2.22421234664815,4.803434272863538,0.0,,,7.536666666666667,6.975067141151165,7.28980646823473,0.0,,,7.795,3.5896179836477096,7.8059375,0.0,,,2.7975,2.6048262688854966,2.8074999999999997,0.0,,,6.895999999999999,5.016330450719481,5.870332773057723,0.0,,,9.976666666666668,10.065133565063023,9.59330966242988,0.0
1996-05-31,PREMON,3.27,3.8,6.33,3.4480000000000004,12.76,3.15,7.221666666666668,4.93,1.5699999999999998,5.779999999999999,8.403333333333334,,,6.051,6.199898067799407,3.616121883656509,5.634389265748167e-08,,,3.644,4.271978601204731,4.109018891161534,3.5399708165563104,,,7.959,3.7685197744876744,9.968762291510833,2.0920307359525522e-12,,,4.806400000000001,4.088887652560325,3.6647970914127423,5.711987702371895,,,11.344000000000001,9.183485387919188,12.207073211682836,10.399952587048436,,,4.398000000000001,1.5273265637591582,4.855452301074166,0.0,,,7.410666666666668,6.734087800094935,8.452672499400045,1.577374591193637e-07,,,6.648999999999999,2.553390050330201,4.95126904432133,-3.2218904506135253e-09,,,2.3064999999999998,2.428526461201639,1.5888365650969525,-8.929311914376046e-22,,,6.4495999999999984,4.3427340381662685,8.724303143431124,0.0,,,9.347333333333335,9.92527147485062,11.269170273822809,9.976626272527174
1996-08-31,MONSOON,3.605,3.225,4.31,3.758,5.785,3.455,5.658333333333334,4.4700000000000015,1.4500000000000002,3.6833333333333336,9.006666666666666,4.5687500000000005,,5.0725999999999996,5.239224257559739,4.0925668445607375,6.461922616680991e-08,3.436875,,3.4764,4.3677012680569165,3.4569995461326406,3.6702832497115194,5.78625,,6.4994,2.821736522262092,2.793932872869057,-7.040872451463698e-11,4.213750000000001,,4.387040000000001,3.606203538905754,4.063392634101564,4.575914012571582,8.424375,,9.1204,7.784952486323779,6.961763227167461,11.948309046898517,4.1125,,4.0208,1.2887845675401788,2.2546254844900524,0.0,6.82375,,6.709733333333334,6.277165731694463,4.3353910442608985,1.1572223721227664e-06,5.591250000000001,,5.7774,2.014891247922676,4.500997906131784,-4.089102313671875e-09,1.853125,,1.9639,2.2579687712631733,1.4765342500441219,5.45223362219449e-23,5.033499999999999,,5.343093333333332,3.5697552897080045,2.5309734478293224,0.0,9.183333333333334,,9.211066666666667,9.85853253021139,6.29795889149102,9.15092210489331
1996-11-30,POMKH,4.3100000000000005,2.595,5.08,4.069999999999999,5.88,4.76,6.845,5.355,1.7824999999999998,4.816,9.406666666666668,5.192500000000001,4.772500000000001,4.76756,4.636309437298864,4.918720459502077,9.804805024026986e-08,3.88,3.29,3.1238399999999995,4.303645260188712,2.982898343251229,3.5207069172525953,6.410625,6.19125,5.93164,2.4813108817022793,5.034347009723012,-1.9614041510157304e-11,4.7329375,4.247000000000001,4.260224,3.341996084636749,4.451278478290159,4.300003797228462,8.0425,8.70625,7.82424,6.7253484265699655,7.111881419214507,8.199938318714416,4.4725,4.14875,4.31648,1.5071208785326609,4.14782242077211,0.0,7.1083333333333325,6.815416666666667,6.76384,6.102121496069759,6.235345062593792,2.2972892155556786e-06,5.873125000000001,5.6375,5.60844,1.9882389517816745,5.395128855807802,-5.136235193046111e-09,2.02375,1.9,1.89134,2.128266345319795,1.8156276440545347,3.6668264617920986e-22,5.2026666666666666,5.293833333333333,5.132256,3.199773630707362,4.301926340847271,0.0,9.600416666666668,9.198333333333334,9.289306666666668,9.83857855137353,8.621291104542145,9.095184905331552
1997-02-28,POMRB,6.275,4.715,5.805,5.4460000000000015,8.145,4.94,7.603333333333333,7.4250000000000025,2.4225000000000003,4.8133333333333335,9.856666666666667,5.830625000000001,4.365,5.3705359999999995,4.647548945652274,8.54767886888724,7.581502217149403,3.86875,3.58375,3.7603039999999996,4.610226576876243,3.9759416402539163,3.4197825218750015,7.069999999999999,5.38125,5.880984,2.536041549850851,7.173086047753687,8.639961735097803,5.032625,4.1805,4.734534400000001,3.509975114235982,6.114548686073419,5.217011323658364,7.3975,8.1425,7.952544,6.673452190971613,9.207195976279879,9.534058591954103,4.696875,4.07625,4.565888,1.832024224623077,5.130392399667583,5.22999376758343,7.043541666666667,6.832083333333333,7.099637333333333,6.11286669173576,7.513427836426162,7.53666672214516,5.936250000000001,5.545,6.335064000000001,2.5693555929741096,7.841365437340741,7.428912032117847,2.11,1.8062500000000004,2.1038040000000002,2.061297621833738,2.832475720755768,2.79749935773238,5.280083333333334,4.773166666666667,5.004686933333334,2.9716291896887763,5.870332773057995,6.895995976518009,9.607916666666666,9.168333333333335,9.516250666666668,9.86885972675897,9.883729741053168,9.570114010893759
1997-05-31,PREMON,9.89,6.17,14.565,7.8675,11.96,6.32,9.431666666666667,7.555,3.31,9.216000000000001,11.86,5.574375,6.0200000000000005,7.1783216,5.627821737351465,3.7541778722931767,3.1361811856358175,3.3825000000000003,4.1762500000000005,4.7241824,5.168353258646685,4.441356092887053,3.670493892077138,6.4925,7.4399999999999995,9.3545904,4.890233097035896,9.387426849528618,6.046540385092318,4.743625000000001,5.285375,5.987720640000001,4.330807373264123,3.8391054913692724,3.7167003512745755,6.5668750000000005,7.942500000000001,9.555526400000002,8.038173087970673,11.105548764774502,11.202089907803064,4.39875,4.86875,5.267532800000001,2.5291727356853717,4.628770109831162,3.1499962462500584,6.57625,7.384583333333333,8.032449066666667,6.486597592042101,8.641225301860745,7.223708196742356,5.676250000000001,6.20125,6.823038400000001,3.2233231338903154,4.961774296283964,4.698465210668756,1.8359375000000002,2.2412500000000004,2.5862824,2.073279853955628,1.5630415455025286,1.5699996395495395,4.804,5.6321666666666665,6.68921216,3.5826909660171755,8.724303143429783,5.779996627649955,8.944583333333334,10.0325,10.4537504,10.122797103823014,11.441763315309545,8.852737029586967
1997-08-31,MONSOON,2.09,0.765,1.35,1.7360000000000002,1.425,2.08,2.93,2.35,0.4,0.8666666666666667,5.609999999999999,5.508749999999999,5.64125,5.14299296,4.654318025906441,4.891479111453837,3.4574719189541465,3.1331249999999997,3.5612500000000007,3.14050944,4.659201545970024,3.997910326008757,3.5617995765734975,6.276875000000001,6.7,6.152754239999999,3.8708567133963125,3.7661044366176633,4.116996691902589,4.746875,4.7798750000000005,4.287032384000001,3.6051140973501288,4.681542509029564,4.266169592813915,6.110625,6.8525,6.303315840000001,5.843023232416968,5.9740654963523125,6.396162552732906,4.235625000000001,4.525,3.99251968,2.199995178855579,3.1445519965785995,3.4549958827917306,6.435833333333334,6.7025,5.9914694399999995,5.711700966126063,4.9755980197618115,5.7258233419071445,5.557500000000001,5.67125,5.033823040000001,2.674668565310117,4.652893020198439,4.260068862384473,1.6403125,1.9787500000000005,1.7117694399999999,1.8640941850305293,1.6479295407133732,1.4499996670998936,4.727916666666666,4.928,4.360193962666667,2.8011285573964644,2.530973447829883,3.6833311842867373,8.684166666666666,9.183333333333334,8.51625024,9.655161786220773,7.413372923340485,10.030161589972138
1997-11-30,POMKH,3.775,1.165,3.42,3.78,3.595,3.75,5.835,5.395,0.6399999999999999,3.824,7.496666666666667,5.266875,5.5075,4.595795776,4.222353223520859,5.434446238368359,4.133621072404682,3.4781250000000004,3.2037500000000008,2.350305664,4.198395295330179,3.214964830293221,2.9968662642031565,5.526875,6.285,5.0596525439999995,3.5080688635134507,5.313639302871095,4.852515822474339,4.4304375,4.707375000000001,4.0842194304,3.4762006943967996,4.763925823624262,4.267678758326785,5.57,6.28125,5.219989504000001,4.7541375912155095,4.851125742633333,4.444208063902334,4.078125,4.272500000000001,3.8955118079999997,2.3541459739733455,4.588292335308811,4.759994327666755,6.0756250000000005,6.449999999999999,5.9288816639999995,5.5277938827848025,6.122915378955965,7.33496078916659,5.2681249999999995,5.6812499999999995,5.178293824000001,2.98643595086036,5.425067956156245,5.103505315114334,1.3896875,1.6931250000000004,1.2830616639999999,1.6899277414650267,1.8566455379012887,1.782499590762455,4.697583333333334,4.680000000000001,4.1457163776,2.655257390533609,4.301926340847115,4.8159971900972645,8.654375,8.705833333333334,8.108416810666666,9.424546256219378,8.441336981380632,8.98634256713007
1998-02-28,POMRB,6.285,4.15,5.74,5.7620000000000005,6.779999999999999,4.6450000000000005,7.490000000000001,6.435,2.0,5.196666666666666,9.683333333333335,5.308125,5.51,5.2714774656,4.490671129523925,8.333141001190764,6.933680905274506,4.149375,3.062500000000001,3.0701833984,4.282275681455705,4.388632150217912,3.793590976970313,4.98875,6.268750000000001,5.3317915264,3.799962008962578,7.110659926949771,7.476839748133349,4.07825,4.7863750000000005,4.75533165824,3.88678795817943,6.251611469639502,5.474753277245985,5.724374999999999,5.94,5.843993702400001,4.958354209263866,6.937287968115127,7.876947921533171,3.9800000000000004,4.19875,4.1953070848000005,2.757128204297755,5.189891594576327,5.032629019829836,5.862833333333334,6.421666666666667,6.5533289984,5.6802910578941415,7.200453030642146,7.218681527661286,5.32,5.433749999999998,5.680976294400001,3.588880192673987,7.792193945409121,7.417256445226804,1.22375,1.5875000000000001,1.5698369984,1.6359454993588152,2.597579920566698,2.629946230759247,4.7485,4.775833333333334,4.5660964932266666,2.804780665907577,5.87033277305717,5.831901934813606,9.014583333333334,8.662500000000001,8.738383419733333,9.452927958624532,9.207098699790066,8.91590054474148
1998-05-31,PREMON,7.945,9.495,8.629999999999999,5.02,9.0,5.355,6.663333333333334,6.23,1.7275,8.59,11.795,5.7575,5.02375,6.34088647936,5.200450651657031,6.6570086877719135,6.469614460984845,4.9677083333333325,3.893750000000001,5.64011003904,5.375151476149778,5.043925256964609,4.390032342211802,5.2875,4.785,6.65107491584,4.860508606705194,9.324547192585197,9.7274786321829,4.2115,4.0745000000000005,4.861198994944,4.104236390575573,5.721127604424247,5.126995075358586,6.358750000000001,5.200000000000001,7.106396221440001,5.991086692141474,9.177247243226615,10.862069823359452,4.07375,3.9575000000000005,4.659184250880001,3.345795234247609,5.049544947212212,5.307446030258994,6.005458333333333,5.729583333333334,6.597330732373333,5.702739347911322,8.372856611463858,7.341866332866273,5.64125,5.102499999999998,5.900585776640001,4.137635625966619,5.493645064321783,6.123173676130656,1.3846874999999998,1.191875,1.6329021990400001,1.569154994818771,2.088485079211325,2.3474494892770927,5.030166666666666,4.6193333333333335,6.175657895936,3.5874370506984556,8.724303143429507,7.535552539577699,9.7275,8.646250000000002,9.96103005184,9.718335323384432,10.909623444950535,9.320270545900698
