Date,Season,Umarda,Saurikh,Kannauj,Jalalabad,Talgram,Chhibramau,Haseran,Umarda_Trend,Umarda_SMA,Umarda_EWMA,Umarda_DES,Umarda_TES,Umarda_ARIMA,Saurikh_Trend,Saurikh_SMA,Saurikh_EWMA,Saurikh_DES,Saurikh_TES,Saurikh_ARIMA,Kannauj_Trend,Kannauj_SMA,Kannauj_EWMA,Kannauj_DES,Kannauj_TES,Kannauj_ARIMA,Jalalabad_Trend,Jalalabad_SMA,Jalalabad_EWMA,Jalalabad_TES,Jalalabad_ARIMA,Talgram_Trend,Talgram_SMA,Talgram_EWMA,Talgram_DES,Talgram_TES,Talgram_ARIMA,Chhibramau_Trend,Chhibramau_SMA,Chhibramau_EWMA,Chhibramau_DES,Chhibramau_TES,Chhibramau_ARIMA,Haseran_Trend,Haseran_SMA,Haseran_EWMA,Haseran_DES,Haseran_TES,Haseran_ARIMA
1996-02-29,POMRB,8.1,3.1175,9.135,0.28,8.77,16.705,4.415,,,8.1,6.415313762193469,7.350457377225927,0.0,,,3.1175,2.7009357346098346,3.118364432082183,0.0,,,9.135,8.627445071950637,8.218085495032092,0.0,,,0.28,0.5830640828701714,0.0,,,8.77,7.794749071162772,7.665969077426663,0.0,,,16.705,13.613945986809744,16.774507688622453,0.0,,,4.415,5.503863925797372,4.333054930694925,0.0
1996-05-31,PREMON,9.14,2.81,8.415,3.325,8.59,16.2175,5.065,,,8.516,6.410731239402056,9.267462677448579,4.272630156151607,,,2.9945000000000004,2.5420188474432526,2.799644361292317,3.071409704267588,,,8.847,8.505900220617052,9.36376606443976,9.134954178924799,,,1.498,1.2397515401971473,0.2799999999999991,,,8.698,7.997940408175631,9.248018125268509,8.76996447165933,,,16.509999999999998,13.911085818262704,16.35035292753826,16.704961838977265,,,4.675000000000001,6.028090799278957,5.346009839582612,4.414997331565926
1996-08-31,MONSOON,6.15,3.2775000000000003,7.494999999999999,1.42,5.715,9.71,3.62,7.2425000000000015,,7.569599999999999,6.406151986893992,7.68699819594414,5.335589221446627,3.07375,,3.1077000000000004,2.7744050136286615,3.301935704604097,2.8995163775418633,7.885624999999999,,8.306199999999999,8.092198564454055,7.669766277463319,8.739200594302353,2.086875,,1.4667999999999999,2.037716918529771,3.3249999960960483,7.043125,,7.5047999999999995,7.434526053187065,6.050234454212785,8.673015180677039,12.148125,,13.79,13.532746862939936,9.898794731013929,16.32325546567657,4.157500000000001,,4.253,5.682622963533495,3.5542647420703233,4.839189990529234
1996-11-30,POMKH,6.21,3.0900000000000003,7.29,2.325,6.1,5.96,3.74,6.9425,7.4,7.025759999999999,6.401576005459997,6.424432397822354,5.252046936899166,3.07375,3.07375,3.10062,2.8855313573398997,3.0868790657639664,3.0373330381003956,7.6625,8.083749999999998,7.899719999999999,7.757115064581343,7.971874052992532,8.197777909961868,2.23625,1.8375000000000001,1.8100800000000001,2.2230554713285358,1.4199999988091505,6.75625,7.293749999999999,6.942879999999999,7.106980839055507,7.619496497361428,7.448303778283845,12.148125,12.148125,10.658,12.818230601826565,6.197809575875409,12.276661447526296,4.13,4.210000000000001,4.0478000000000005,5.282084088618549,3.5191560084885487,4.061633582430131
1997-02-28,POMRB,6.84,3.1175,7.55,2.275,6.7650000000000015,16.705,3.995,6.925,7.084999999999999,6.951456,6.3970032933478445,6.904183607156912,7.771445499488662,3.0737500000000004,3.07375,3.107372,3.0030770049738194,3.1107697140939097,3.246502416947282,7.66,7.687499999999998,7.759831999999999,7.641927661381953,7.951626806363334,7.838218763338111,2.269375,2.33625,1.996048,2.186365225573489,2.32500012686383,6.809375,6.7924999999999995,6.871727999999999,7.026451664900989,7.2952152430749315,7.257194988266169,12.148125,12.148125,13.076799999999999,13.240667048670396,16.923178314735583,15.676349076518068,4.155,4.105000000000001,4.026680000000001,4.956976999002838,4.3845315995346725,4.2754513176297735
1997-05-31,PREMON,8.0,2.81,8.215,2.525,8.3,16.2175,5.2650000000000015,7.0649999999999995,6.799999999999999,7.3708736,6.392433848765551,8.499637161449758,8.263997111020716,3.07375,3.07375,2.9884231999999997,2.907721901477476,2.796928015221114,2.8824498028672805,7.634375,7.6374999999999975,7.9418992,7.813396429657766,8.598551786065183,7.7282651584912,2.519375,2.1362500000000004,2.2076288,3.175231825489018,2.7896325717602597,6.942500000000001,6.72,7.4430368,7.3482777569986375,8.324954532605261,7.042134991576822,12.148125,12.148125,14.333079999999999,13.573855145476262,16.422396590272843,16.312207913706246,4.086875000000001,4.155000000000001,4.522008000000001,5.170409955139642,5.149656909814077,4.619762035379083
1997-08-31,MONSOON,7.15,3.2775000000000003,7.6750000000000025,2.4850000000000003,6.43,9.71,3.62,6.90375,7.049999999999999,7.28252416,6.387867667318522,6.772104352917852,5.638355645003228,3.07375,3.07375,3.10405392,3.117411007074489,3.300964169388447,3.036798349668585,7.489375,7.682499999999999,7.835139520000001,7.723121541781048,7.118351732391584,7.911209291683233,2.681875,2.4025000000000003,2.3185772800000004,1.6533807009546775,2.2030377475099816,6.998125,6.898750000000001,7.03782208,7.1243582796148885,5.341121003950258,6.676550020688511,12.148125,12.148125,12.483848,13.228083205153967,9.908503171862229,9.996219528418699,3.9450000000000003,4.155000000000001,4.161204800000001,4.645198687659591,3.5826037418299457,4.015866768808946
1997-11-30,POMKH,6.33,3.0900000000000003,6.904999999999999,3.26,6.45,5.96,3.1950000000000003,6.9025,7.079999999999998,6.901514496,6.383304746706618,6.266227273580773,6.724443000933037,3.07375,3.07375,3.098432352,3.1556838971945127,3.086531584018082,3.0483278053183094,7.633749999999999,7.58625,7.463083712000001,7.384066715443953,7.697126677621042,7.822947888696147,2.7262500000000003,2.6362500000000004,2.6951463680000005,3.06782482858216,2.637953193236163,7.02625,6.98625,6.802693248,6.9610494445252415,7.391676362662684,6.69945696781524,12.148125,12.148125,9.8743088,12.542988899734103,6.1578885172765165,6.299860709706643,3.9925,4.018750000000001,3.7747228800000006,4.026018811820973,3.6047452741978234,3.8336382384022922
1998-02-28,POMRB,5.43,3.1175,6.775,2.64,6.86,16.705,3.405,6.665,6.727499999999998,6.312908697599999,6.378745084518575,6.855913913420485,7.278962737288782,3.0737500000000004,3.07375,3.1060594112000004,3.183118956752437,3.110645432892592,3.181738391476079,7.699999999999999,7.392499999999999,7.1878502272,7.123381898054034,7.6351749259121,7.480743846955531,2.731875,2.7275000000000005,2.6730878208,3.1076544302507427,3.2515496553407623,6.8925,7.01,6.825615948799999,6.940437688704254,7.26267517428829,7.044704460091041,12.148125,12.148125,12.60658528,12.992005967393755,16.900492866790593,16.093540044410446,3.9431249999999998,3.8712500000000007,3.6268337280000003,3.625798875113094,4.087454650868482,3.9550183121609965
1998-05-31,PREMON,9.4,2.81,10.145,2.515,8.43,16.2175,6.234999999999999,6.016249999999999,7.077499999999999,7.547745218559999,6.374188683419364,7.913266640701251,7.507723668463111,3.07375,3.07375,2.9876356467200003,3.004199180997743,2.7968835644918775,2.832036368646322,7.432291666666667,7.874999999999999,8.37071013632,8.195288942581675,8.108648049527822,7.21788820070004,2.6199999999999997,2.7250000000000005,2.60985269248,3.6247615055770206,3.1161705399063324,7.088125,7.0424999999999995,7.46736956928,7.316013820056626,8.335517899548604,7.273482292536372,12.148125,12.148125,14.050951168000001,13.349207743314446,16.409576757897963,16.171706932866996,3.540625,4.1137500000000005,4.6701002368,4.514923367609206,4.994983155094921,4.621943888029964
1998-08-31,MONSOON,3.85,3.2775000000000003,6.275,2.54,5.23,9.71,2.255,5.68625,6.2524999999999995,6.068647131135999,6.369635531320084,6.970667247486849,7.058753969974008,3.07375,3.07375,3.1035813880320005,3.14672922881657,3.3009482710280453,3.0963957901125485,7.222291666666666,7.524999999999999,7.532426081792,7.44971067239304,7.543808405698394,8.307703956568403,2.21125,2.7387500000000005,2.581911615488,1.7132075111438965,2.2339305878001,7.13625,6.7425,6.572421741568,6.8012048471811655,5.392049169861736,6.660501112906269,12.148125,12.148125,12.314570700800001,13.025130434905584,9.898418138054456,10.000286091164377,3.4074999999999998,3.7725,3.70406014208,3.664410341192606,3.6328861418522407,4.155972927131019
