Date,Season,South Andaman,Havelock Island,Neil Island,South Andaman_Trend,South Andaman_SMA,South Andaman_EWMA,South Andaman_TES,South Andaman_ARIMA,Havelock Island_Trend,Havelock Island_SMA,Havelock Island_EWMA,Havelock Island_TES,Havelock Island_ARIMA,Neil Island_Trend,Neil Island_SMA,Neil Island_EWMA,Neil Island_TES,Neil Island_ARIMA
1996-02-29,POMRB,,,,,,,,,,,,,,,,,,
1996-05-31,PREMON,2.0654044875403232,2.4057500000000003,3.844733333333333,,,2.0654044875403232,2.075404487540323,0.0,,,2.4057500000000003,2.39616792210265,0.0,,,3.844733333333333,3.854733333333333,0.0
1996-08-31,MONSOON,,,,,,,,,,,,,,,,,,
1996-11-30,POMKH,1.1513974667133775,1.2391798941798942,2.389083333333333,,,1.699801679209545,1.170843450092879,5.865902963887076e-22,,,1.9391219576719578,1.3063675050478627,3.3006100467047435e-07,,,3.262473333333333,2.4085293167128343,-2.4249931498079523e-07
1997-02-28,POMRB,,,,,,,,,,,,,,,,,,
1997-05-31,PREMON,2.0654044875403232,2.4057500000000003,3.844733333333333,1.6084009771268504,,1.8460428025418563,2.093745430289381,2.946801642954151e-22,1.8224649470899474,,2.1257731746031747,2.2960283087844338,2.665798017989994e-07,3.1169083333333325,,3.495377333333333,3.8730742760823915,-8.228707314056788e-08
1997-08-31,MONSOON,,,,,,,,,,,,,,,,,,
1997-11-30,POMKH,1.1513974667133775,1.2391798941798942,2.389083333333333,1.6084009771268502,1.6084009771268504,1.5681846682104648,1.1880867063090816,1.1554950052949484e-22,1.8224649470899472,1.8224649470899474,1.7711358624338625,1.192472459372973,2.850385323191849e-07,3.116908333333333,3.116908333333333,3.052859733333333,2.425772572929038,-1.4177043497014666e-07
1998-02-28,POMRB,,,,,,,,,,,,,,,,,,
1998-05-31,PREMON,2.0654044875403232,2.4057500000000003,3.844733333333333,1.6084009771268504,1.6084009771268502,1.767072595942408,2.1099000076954657,2.0654045098540963,1.8224649470899474,1.8224649470899472,2.0249815174603176,2.4642613836765146,2.4057498902991177,3.1169083333333325,3.116908333333333,3.369609173333333,3.8892288534884765,3.844733061963467
1998-08-31,MONSOON,,,,,,,,,,,,,,,,,,
1998-11-30,POMKH,1.1513974667133775,1.2391798941798942,2.389083333333333,1.6084009771268502,1.6084009771268502,1.5208025442507958,1.203165209669553,1.151397479152598,1.8224649470899472,1.822464947089947,1.7106608681481483,1.3275418117016609,1.2391795605709317,3.116908333333333,3.116908333333333,2.977398837333333,2.4408510762895093,2.3890832849296926
1999-02-28,POMRB,,,,,,,,,,,,,,,,,,
1999-05-31,PREMON,2.0654044875403232,2.4057500000000003,3.844733333333333,1.6084009771268504,1.6084009771268502,1.7386433215666068,2.1239183588814403,2.0654045098540963,1.8224649470899474,1.8224649470899472,1.9886965208888892,2.3026126599383114,2.4057496329198758,3.1169083333333325,3.116908333333333,3.3243326357333327,3.903247204674451,3.8447331656331714
1999-08-31,MONSOON,,,,,,,,,,,,,,,,,,
1999-11-30,POMKH,1.1513974667133775,1.2391798941798942,2.389083333333333,1.6084009771268502,1.6084009771268502,1.503744979625315,1.216140373430744,1.151397479152598,1.8224649470899472,1.822464947089947,1.6888898702052912,1.1945199257114658,1.2391797131189655,3.116908333333333,3.116908333333333,2.9502329147733324,2.4538262400507005,2.389083267361048
2000-02-29,POMRB,,,,,,,,,,,,,,,,,,
2000-05-31,PREMON,2.0654044875403232,2.4057500000000003,3.844733333333333,1.6084009771268504,1.6084009771268502,1.7284087827913184,2.1358682966364926,2.0654042710387377,1.8224649470899474,1.8224649470899472,1.975633922123175,2.4648980627218164,2.405749907458116,3.1169083333333325,3.116908333333333,3.3080330821973325,3.9151971424295033,3.844733209292719
2000-08-31,MONSOON,,,,,,,,,,,,,,,,,,
