,HP,HP_PROJECTION
1996-02-29,57.77,57.675829730961624
1996-05-31,8.9365,9.219009643728926
1996-08-31,3.55,4.457994351443069
1996-11-30,6.7990476189999995,6.823767770244543
1997-02-28,9.407222222,53.58468282314013
1997-05-31,8.9365,6.62153496417713
1997-08-31,6.869230769,3.1949940174339417
1997-11-30,9.163953487999999,6.732712048719413
1998-02-28,8.536716418,48.54871582780704
1998-05-31,9.074848485,8.099074229136388
1998-08-31,7.045,4.4402278207388175
1998-11-30,6.152340426,7.359975418320377
1999-02-28,8.281818182,35.93345066920963
1999-05-31,8.925909091,7.403945037799579
1999-08-31,5.362321429,4.4601661847549945
1999-11-30,6.922857143,5.720904120302003
2000-02-29,8.658918919,25.875846124208824
2000-05-31,7.9026388889999994,6.746547998659251
2000-08-31,6.6222,3.9863484283623882
2000-11-30,7.91875,5.646939163574182
2001-02-28,4.87,22.219493763988094
2001-05-31,9.842857143,6.873293414954452
2001-08-31,5.6654285710000005,4.826311444722932
2001-11-30,7.222941176,5.946716624909619
2002-02-28,8.10915493,17.300683323674555
2002-05-31,9.698589744,7.504106378597355
2002-08-31,8.416233766,4.8908793373999835
2002-11-30,7.5527272729999995,6.923130131052135
2003-02-28,8.283896104,17.009506869167726
2003-05-31,9.942307692,9.057571355943882
2003-08-31,7.3433333329999995,6.240736415949567
2003-11-30,7.533417722,6.981705362481337
2004-02-29,7.945897436,14.852428987670745
2004-05-31,9.2735,9.089984625599866
2004-08-31,7.401375,6.200020189485346
2004-11-30,7.815064935,6.7606535363573395
2005-02-28,8.350632911,12.893047131537399
2005-05-31,9.042179487,9.01232793641649
2005-08-31,7.664074074,6.341049153012072
2005-11-30,7.63746988,6.8790632966588685
2006-02-28,9.128902438999999,11.622698466775514
2006-05-31,9.719878049,9.095218495509105
2006-08-31,7.236024096,6.81707624133636
2006-11-30,8.225662651,7.039003178626718
2007-02-28,9.451445782999999,11.267038516382675
2007-05-31,8.437564103,9.533016200391577
2007-08-31,6.265844156,6.845622288466902
2007-11-30,8.411875,6.9423895984191475
2008-02-29,8.343333333,10.384974243432895
2008-05-31,10.24878049,8.727896771530263
2008-08-31,6.759871795,6.7285291495573105
2008-11-30,7.0735443039999994,7.4565754947782406
2009-02-28,7.069746835,9.659757710561225
2009-05-31,9.777901235,8.578783049013271
2009-08-31,7.6739999999999995,6.285977888588318
2009-11-30,7.0763513510000005,7.2028292422877085
2010-02-28,7.287368421,8.98564547018648
2010-05-31,8.365373134,8.917513822980153
2010-08-31,5.036842105,6.350152706248947
2010-11-30,6.245194805,6.186660110852502
2011-02-28,6.502465752999999,7.314889043060285
2011-05-31,7.9232,7.439391163810971
2011-08-31,4.689295775,5.197165996063503
2011-11-30,6.023466667,5.378487760847661
2012-02-29,6.9548611110000005,6.3123178468161685
2012-05-31,8.206575342,7.0107156305061284
2012-08-31,4.862857143,4.890411134886498
2012-11-30,6.1404705879999995,5.493081527480038
2013-02-28,7.314893617,6.529040857541847
2013-05-31,8.192692308,7.5156294609266014
2013-08-31,4.816947368,5.043186191746801
2013-11-30,5.983267327,5.837615148350644
2014-02-28,7.005111111000001,6.867663060865125
2014-05-31,6.753619047999999,7.725043640067722
2014-08-31,5.39959596,4.786434048233489
2014-11-30,4.972325581000001,5.840356696995936
2015-02-28,6.593152174,6.573927468780027
2015-05-31,6.727857143,7.093505683243613
2015-08-31,4.794242424,4.693633776653258
2015-11-30,5.826842105,5.239510143660961
2016-02-29,6.801290323,6.4593184065767995
2016-05-31,7.977204301,7.002675286477233
2016-08-31,5.555918367,4.96720243684837
2016-11-30,6.712040816,5.872685857223716
2017-02-28,6.650114942999999,7.336885326365987
2017-05-31,7.283222222000001,7.950672839723579
2017-08-31,4.793670886,5.375766963241669
2017-11-30,6.278865979,6.048860987209511
2018-02-28,6.128333333,6.961114046044944
2018-05-31,13.99666667,7.425843481203721
2018-08-31,5.6505555560000005,6.181130453761293
2018-11-30,5.419195402000001,7.392324300398843
2019-02-28,,7.796230902290513
2019-05-31,,10.562212028980268
2019-08-31,,6.037023084536579
2019-11-30,,7.3982227378914365
2020-02-29,,8.25999332237041
2020-05-31,,11.18130338808832
2020-08-31,,6.385765652725521
2020-11-30,,7.8195139304085295
2021-02-28,,8.723755742450303
2021-05-31,,11.800394747196375
2021-08-31,,6.7345082209144635
2021-11-30,,8.240805122925623
