,KA,KA_PROJECTION
1996-02-29,7.702217742,7.226701525544583
1996-05-31,8.682528902,8.981242364011338
1996-08-31,6.386348168,6.830713971080784
1996-11-30,5.555011792,6.1626332035683085
1997-02-28,6.517652695,6.870986255617662
1997-05-31,8.615242588,8.13962283954819
1997-08-31,6.775954606,6.427648709128356
1997-11-30,5.707362356,6.0910899405531245
1998-02-28,6.181925546,6.894749684365642
1998-05-31,7.676049005,7.989774885388625
1998-08-31,5.609123782999999,6.062397127932421
1998-11-30,4.881553738,5.447937723504452
1999-02-28,6.3888461539999994,6.06125695538341
1999-05-31,7.390947752000001,7.499233887739427
1999-08-31,6.6976135039999996,5.749640709454691
1999-11-30,5.76263965,5.691566414740245
2000-02-29,6.701685912,6.648028615490539
2000-05-31,8.870742925,8.072323826902178
2000-08-31,6.297808057,6.477993618486199
2000-11-30,5.7421,5.936606727503025
2001-02-28,6.9082796779999995,6.805724335778307
2001-05-31,8.742877193,8.287200114003024
2001-08-31,7.418539603999999,6.534990945811848
2001-11-30,6.457037037,6.394128472550412
2002-02-28,6.917493857,7.459451619826921
2002-05-31,9.372166065,8.75713420240616
2002-08-31,8.395230415,6.94734411057782
2002-11-30,7.9841209410000005,6.990616170208388
2003-02-28,8.939048193,8.595529185123592
2003-05-31,8.299445629,10.5700096516016
2003-08-31,6.5182752289999994,7.43013967857029
2003-11-30,6.523918032999999,6.539695780239055
2004-02-29,9.844743935,7.590850876652682
2004-05-31,10.93885042,10.30470877054525
2004-08-31,8.360526316,8.14523609447321
2004-11-30,8.290141509,7.630615946207487
2005-02-28,9.159117998,9.178948156608834
2005-05-31,10.57496021,11.094631832780614
2005-08-31,8.114341801,8.388372814229642
2005-11-30,6.551422594,7.669523367225984
2006-02-28,7.534836245,8.376240276534086
2006-05-31,8.891583333,9.71640146012544
2006-08-31,7.63647806,7.230360935636825
2006-11-30,7.52510395,6.856236577220176
2007-02-28,8.546998972,8.284743229107747
2007-05-31,9.757417012000001,10.154035422863538
2007-08-31,7.573949904,7.7029349564352865
2007-11-30,6.640160226,7.090136802516276
2008-02-29,7.53341954,8.022536765898675
2008-05-31,9.141453321,9.463913140552313
2008-08-31,7.181939698,7.1949198902252105
2008-11-30,6.910753968,6.663957672403205
2009-02-28,7.945159113,7.860293488254753
2009-05-31,9.312714571,9.552941172728605
2009-08-31,7.438077304,7.289512536997684
2009-11-30,6.189203629,6.812999640666975
2010-02-28,6.847912525,7.618016261392926
2010-05-31,8.685987654,8.835446008743489
2010-08-31,6.5599470339999995,6.765674007225611
2010-11-30,5.942130478999999,6.193222056521263
2011-02-28,6.859878172999999,7.076535419066411
2011-05-31,8.297812808,8.455935338031496
2011-08-31,6.956358025,6.470656655277419
2011-11-30,6.947076142,6.1831859537644895
2012-02-29,8.214217822,7.548995995699596
2012-05-31,9.826663327,9.46499151642187
2012-08-31,7.0,7.4122956867466145
2012-11-30,8.172497925,6.713263110660015
2013-02-28,8.440605263,8.495798714349702
2013-05-31,12.25632634,10.251427330621263
2013-08-31,7.111392065,8.538082174124169
2013-11-30,6.55116622,7.369534088749801
2014-02-28,7.60749017,8.17106639550406
2014-05-31,8.853375681000001,9.60643699813709
2014-08-31,6.976949568999999,7.1683861994163935
2014-11-30,5.989092604,6.571489681886863
2015-02-28,7.178765505,7.357491730048208
2015-05-31,8.465673926000001,8.814333942389187
2015-08-31,7.06350092,6.686362377056657
2015-11-30,6.003390388,6.341577415285993
2016-02-29,6.444014687999999,7.207159348980857
2016-05-31,8.411277777999999,8.342350556355248
2016-08-31,7.093046397999999,6.455047999361322
2016-11-30,7.233041775,6.226684923276112
2017-02-28,8.833755274,7.715123477970623
2017-05-31,8.675274725,9.890989344213441
2017-08-31,8.389780427,7.241088572771233
2017-11-30,6.458865337000001,7.148719888402611
2018-02-28,7.4610894210000005,7.976109336237626
2018-05-31,11.88516129,9.394935510680602
2018-08-31,6.209459459,8.03208522953709
2018-11-30,7.23690589,6.750428582003551
2019-02-28,,8.074960889389839
2019-05-31,,9.770228389086018
2019-08-31,,7.532891206423802
2019-11-30,,6.981789812881844
2020-02-29,,8.111422588109834
2020-05-31,,9.814295158140185
2020-08-31,,7.5668286217878835
2020-11-30,,7.013209001459712
2021-02-28,,8.147884286829825
2021-05-31,,9.85836192719435
2021-08-31,,7.600766037151966
2021-11-30,,7.04462819003758
