,PY,PY_PROJECTION
1996-02-29,2.32,2.2273812360292684
1996-05-31,2.98,2.1795985832761335
1996-08-31,2.08,2.8014956364388888
1996-11-30,1.68,1.9104544978345874
1997-02-28,1.38,2.413624078866067
1997-05-31,2.39,1.991532246026212
1997-08-31,2.14,2.436686766239691
1997-11-30,1.28,1.749686384855262
1998-02-28,1.45,2.1004772162962944
1998-05-31,2.62,1.8197226352169105
1998-08-31,0.98,2.3982781098487114
1998-11-30,1.96,1.4402642042194342
1999-02-28,2.81,2.1381899552708066
1999-05-31,3.15,2.282533590359652
1999-08-31,2.57,2.9425294300430553
1999-11-30,2.31,2.1013091126146737
2000-02-29,2.77,2.8539014604377346
2000-05-31,2.35,2.713978754524311
2000-08-31,2.2,2.9536925608727103
2000-11-30,1.8,2.0138982843538304
2001-02-28,3.13,2.554434882281508
2001-05-31,2.55,2.644357647447571
2001-08-31,2.4,2.9790795185808476
2001-11-30,1.05,2.076290394949022
2002-02-28,1.4,2.2761162692036505
2002-05-31,2.76,1.9126185609196336
2002-08-31,2.3,2.5204112689217455
2002-11-30,1.59,1.8301621421951613
2003-02-28,2.17,2.30571605831858
2003-05-31,2.74,2.1797720532543403
2003-08-31,1.91,2.7095977284658552
2003-11-30,1.51,1.8235318072175282
2004-02-29,2.01,2.2647516155075333
2004-05-31,2.5,2.1026445399124634
2004-08-31,2.0,2.5607396593208422
2004-11-30,1.84,1.7743621710209694
2005-02-28,4.995454545,2.368777675022506
2005-05-31,8.169,3.1317883428731697
2005-08-31,7.4828571429999995,5.492801137703287
2005-11-30,5.437,4.562457073388347
2006-02-28,4.5360000000000005,6.3242096097175455
2006-05-31,4.766,5.439180744467461
2006-08-31,5.8888888889999995,5.888182853563642
2006-11-30,6.0920000000000005,4.3532618667833445
2007-02-28,5.043,6.43595537106772
2007-05-31,5.907,5.6723653230165025
2007-08-31,5.722,6.497513385329827
2007-11-30,5.078,4.6050680437327856
2008-02-29,4.71,6.201806907633705
2008-05-31,5.527,5.419400603018756
2008-08-31,5.79,6.165405874653367
2008-11-30,2.53,4.462066245992233
2009-02-28,4.885,4.954957848942635
2009-05-31,6.1444444439999995,4.701801037715786
2009-08-31,5.787000000000001,5.873387222327125
2009-11-30,5.45,4.320578997693339
2010-02-28,5.126666667,6.124638434301439
2010-05-31,5.763333332999999,5.50610736952658
2010-08-31,6.334285714,6.319916583138279
2010-11-30,6.715,4.673029987491605
2011-02-28,10.34571429,6.9825664546976665
2011-05-31,4.693333333,7.724972380167719
2011-08-31,7.858888889,7.544632621547785
2011-11-30,4.077,5.645616115508971
2012-02-29,6.869090909,6.642908316359643
2012-05-31,5.64,6.390840690667372
2012-08-31,9.44,6.924551992671693
2012-11-30,1.03,5.743295983591222
2013-02-28,6.676666667,5.379946156024971
2013-05-31,3.3788888889999997,5.544527508437625
2013-08-31,13.11666667,5.433934242264686
2013-11-30,9.56,5.946966603344495
2014-02-28,10.65076923,9.320573248363988
2014-05-31,13.10846154,9.275145015923691
2014-08-31,10.470625,11.913597378080478
2014-11-30,12.025,8.406172801319041
2015-02-28,9.558333333,12.496824327030852
2015-05-31,13.74666667,10.894255238410606
2015-08-31,12.85076923,13.35137198315121
2015-11-30,11.50153846,9.695997545637871
2016-02-29,13.388,13.360450451384036
2016-05-31,10.91461538,12.66776951878656
2016-08-31,10.45285714,13.572284057220424
2016-11-30,10.4875,9.201101045281453
2017-02-28,10.51,12.492461440292622
2017-05-31,11.81666667,11.199015925587224
2017-08-31,12.698,12.835898311586417
2017-11-30,2.271666667,9.409258824066248
2018-02-28,11.90272727,9.04017565810215
2018-05-31,2.4533333330000002,9.505541921198196
2018-08-31,8.416,7.997759920286389
2018-11-30,2.355,6.003710973002398
2019-02-28,,6.186253579492714
2019-05-31,,5.886699721329139
2019-08-31,,6.647664319862974
2019-11-30,,4.909575003198937
2020-02-29,,6.385887322522431
2020-05-31,,6.075146380762792
2020-08-31,,6.858781602261013
2020-11-30,,5.064265675641214
2021-02-28,,6.585521065552149
2021-05-31,,6.263593040196446
2021-08-31,,7.069898884659054
2021-11-30,,5.2189563480834895
