,KL,KL_PROJECTION
1996-02-29,6.237759562999999,6.158474580649904
1996-05-31,7.072541436,6.9760647757502205
1996-08-31,4.76681736,4.867080391334777
1996-11-30,5.221898734,5.229542215198569
1997-02-28,5.961730418999999,6.221713395408787
1997-05-31,6.816605505,6.919289864553014
1997-08-31,4.185890908999999,4.781491351123973
1997-11-30,4.678163636,4.957947865526399
1998-02-28,5.768390597000001,5.790824112910127
1998-05-31,6.771775701,6.523938259257143
1998-08-31,4.231045872,4.588921437148099
1998-11-30,4.782763636,4.83605155722979
1999-02-28,5.810783242,5.736189872421732
1999-05-31,6.703694852999999,6.499042202809534
1999-08-31,4.68060219,4.5616417122531505
1999-11-30,5.392237443,4.9791012771911065
2000-02-29,6.485098336,6.091727932497368
2000-05-31,7.224109397,7.019394923674324
2000-08-31,4.383520924,4.922239878038855
2000-11-30,6.003903447999999,5.130475520241295
2001-02-28,6.54099162,6.454712565584651
2001-05-31,7.231612403,7.312098486200492
2001-08-31,5.054165457,5.0588467170791995
2001-11-30,5.335877061000001,5.471148222948482
2002-02-28,6.352033133,6.457878698569651
2002-05-31,7.060793651,7.243207016472543
2002-08-31,5.116145251,4.987439587288108
2002-11-30,4.975671642,5.4423122157204435
2003-02-28,6.768986384,6.291745898753204
2003-05-31,7.301579755,7.276131187701035
2003-08-31,5.221343931,5.05852140962215
2003-11-30,5.684917788,5.53139330864949
2004-02-29,6.58378882,6.644372543699033
2004-05-31,7.630630915,7.470162703833695
2004-08-31,5.396321321,5.2243298585458815
2004-11-30,5.675301915,5.713714785732816
2005-02-28,6.6247093889999995,6.7845293653729435
2005-05-31,7.087862715,7.5904755127526835
2005-08-31,5.337866044,5.153730832396261
2005-11-30,5.460824916,5.641890181833307
2006-02-28,6.385279879,6.642446690087151
2006-05-31,7.109952456,7.39385914946995
2006-08-31,5.143975155,5.0682682385959446
2006-11-30,4.983422619,5.5104008496323
2007-02-28,6.477291362000001,6.348602078606022
2007-05-31,7.592670622999999,7.208672116239335
2007-08-31,4.941335357,5.095032202330492
2007-11-30,5.456966127,5.456305593187112
2008-02-29,6.561720117,6.494350046400425
2008-05-31,6.697529412000001,7.3495768000461466
2008-08-31,5.483859911000001,4.952098044607714
2008-11-30,5.791961652,5.549967862665284
2009-02-28,6.674546805,6.701644357473671
2009-05-31,7.608515625,7.547246735431923
2009-08-31,5.361664122,5.254711412456428
2009-11-30,5.5405401229999995,5.7229858283476895
2010-02-28,6.495126582,6.7382163050936095
2010-05-31,6.9097623089999995,7.5069502622821735
2010-08-31,5.019024,5.073890276603052
2010-11-30,5.116433225,5.469234076250213
2011-02-28,6.295023041,6.369029305666753
2011-05-31,6.997184466,7.155220308690481
2011-08-31,4.789812287,4.932128880368706
2011-11-30,5.427661017,5.284554341306566
2012-02-29,6.451993569,6.3470504090562425
2012-05-31,7.375285962,7.197970590586017
2012-08-31,4.789812,5.039623515735291
2012-11-30,6.014737533,5.361716630078073
2013-02-28,6.86858854,6.641641462324486
2013-05-31,7.8928449999999994,7.575523724031397
2013-08-31,5.242484342,5.333763008112108
2013-11-30,5.620222017000001,5.736616522002287
2014-02-28,6.720686275,6.780693875485453
2014-05-31,7.412185749,7.6238005340173345
2014-08-31,4.742849817,5.244395080001692
2014-11-30,5.673734043,5.491717813197216
2015-02-28,6.484379661,6.60858871316248
2015-05-31,7.082769432,7.405895773726988
2015-08-31,5.286594488,5.067502125454377
2015-11-30,5.44884715,5.561444982029676
2016-02-29,6.355010417000001,6.57414997181333
2016-05-31,7.500806335,7.331336729660672
2016-08-31,5.732792207999999,5.130219134065584
2016-11-30,6.321094062999999,5.767881645353316
2017-02-28,7.272879277,7.08432892403419
2017-05-31,7.950761905,8.059258602474161
2017-08-31,5.114606299,5.5700948444461185
2017-11-30,5.761245902000001,5.8600002967031966
2018-02-28,6.759532279,6.934260100259564
2018-05-31,8.91953125,7.753365360327337
2018-08-31,6.3966,5.654106570902234
2018-11-30,5.845433225,6.38408098067845
2019-02-28,,7.381646130281312
2019-05-31,,8.322762473977765
2019-08-31,,5.777886108842764
2019-11-30,,6.249106729289539
2020-02-29,,7.435713928663821
2020-05-31,,8.383612172431748
2020-08-31,,5.820052537945824
2020-11-30,,6.294629024596828
2021-02-28,,7.4897817270463305
2021-05-31,,8.444461870885732
2021-08-31,,5.862218967048885
2021-11-30,,6.340151319904117
